,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,12.74,12.74,12.51,12.54,34474400,12.6325
1,2012-02-14,12.46,12.58,12.34,12.48,39627900,12.465
2,2012-02-15,12.47,12.57,12.33,12.38,38174800,12.4375
3,2012-02-16,12.38,12.77,12.38,12.74,49164400,12.5675
4,2012-02-17,12.84,12.88,12.71,12.75,30778000,12.795
5,2012-02-21,12.74,12.76,12.46,12.53,38409800,12.6225
6,2012-02-22,12.49,12.51,12.22,12.28,43326000,12.375
7,2012-02-23,12.27,12.44,12.16,12.4,36747600,12.3175
8,2012-02-24,12.43,12.46,12.19,12.23,31399300,12.3275
9,2012-02-27,12.11,12.36,11.99,12.3,38703400,12.190000000000001
10,2012-02-28,12.34,12.35,12.2,12.25,30789000,12.285
11,2012-02-29,12.28,12.55,12.25,12.38,62093700,12.365
12,2012-03-01,12.48,12.77,12.45,12.66,68262000,12.59
13,2012-03-02,12.74,12.94,12.68,12.72,49063500,12.77
14,2012-03-05,12.67,12.68,12.41,12.46,28433700,12.555000000000001
15,2012-03-06,12.23,12.25,12.0,12.09,57374500,12.142500000000002
16,2012-03-07,12.21,12.3,12.15,12.24,28440900,12.225000000000001
17,2012-03-08,12.41,12.55,12.32,12.46,37099100,12.435
18,2012-03-09,12.53,12.73,12.48,12.58,36159300,12.579999999999998
19,2012-03-12,12.57,12.59,12.37,12.43,30275700,12.49
20,2012-03-13,12.48,12.72,12.4,12.7,42783600,12.575
21,2012-03-14,12.64,12.9,12.63,12.88,47578500,12.762500000000001
22,2012-03-15,12.9,13.04,12.83,12.9,55286600,12.917499999999999
23,2012-03-16,12.86,12.9,12.51,12.51,77119600,12.694999999999999
24,2012-03-19,12.52,12.68,12.48,12.63,52445700,12.5775
25,2012-03-20,12.48,12.61,12.39,12.54,40214400,12.505
26,2012-03-21,12.59,12.67,12.55,12.57,27521400,12.595
27,2012-03-22,12.48,12.54,12.24,12.32,50117100,12.395
28,2012-03-23,12.31,12.37,12.18,12.32,44755000,12.295
29,2012-03-26,12.45,12.5,12.39,12.48,26692200,12.455000000000002
30,2012-03-27,12.51,12.61,12.3,12.32,35070700,12.435
31,2012-03-28,12.35,12.36,12.18,12.32,41051700,12.3025
32,2012-03-29,12.33,12.52,12.24,12.5,51039700,12.3975
33,2012-03-30,12.55,12.58,12.4,12.48,36381000,12.502500000000001
34,2012-04-02,12.5,12.65,12.44,12.62,43966900,12.552499999999998
35,2012-04-03,12.71,12.95,12.46,12.64,97034200,12.690000000000001
36,2012-04-04,12.46,12.52,12.32,12.51,51505000,12.452499999999999
37,2012-04-05,12.38,12.58,12.38,12.47,37939500,12.4525
38,2012-04-09,12.26,12.29,12.11,12.22,42515300,12.219999999999999
39,2012-04-10,12.19,12.28,11.65,11.79,77370300,11.9775
40,2012-04-11,11.99,12.02,11.88,11.91,34724400,11.95
41,2012-04-12,11.94,12.13,11.86,12.07,26988800,12.0
42,2012-04-13,11.98,12.03,11.84,11.92,39675000,11.942499999999999
43,2012-04-16,12.01,12.05,11.83,11.88,31903500,11.9425
44,2012-04-17,11.98,12.0,11.88,11.91,35981200,11.942499999999999
