,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,26.0,26.0,25.21,25.34,10503600,25.637500000000003
1,2012-02-14,25.21,25.45,25.0,25.4,9885800,25.265
2,2012-02-15,25.73,25.75,24.9,24.93,13329000,25.3275
3,2012-02-16,25.29,27.26,25.27,27.17,35313600,26.2475
4,2012-02-17,27.17,27.68,27.01,27.34,17603600,27.3
5,2012-02-21,27.3,27.55,26.99,27.06,8593200,27.225
6,2012-02-22,27.08,27.13,26.53,26.55,10693300,26.822499999999998
7,2012-02-23,26.69,27.27,26.26,26.79,10300900,26.752499999999998
8,2012-02-24,26.9,26.95,26.06,26.07,9404600,26.494999999999997
9,2012-02-27,26.07,26.55,25.57,26.46,8600900,26.1625
10,2012-02-28,26.49,26.53,26.1,26.14,7547000,26.315
11,2012-02-29,26.07,26.55,25.92,26.02,12018900,26.14
12,2012-03-01,26.19,26.8,26.15,26.47,8893300,26.4025
13,2012-03-02,26.55,26.75,26.36,26.45,8465700,26.5275
14,2012-03-05,26.27,26.4,25.8,26.0,7650500,26.1175
15,2012-03-06,25.31,25.34,24.38,24.58,19071300,24.9025
16,2012-03-07,24.75,25.21,24.75,24.88,6888800,24.8975
17,2012-03-08,25.37,25.59,25.1,25.45,8646700,25.3775
18,2012-03-09,25.7,25.82,25.39,25.62,6323600,25.6325
19,2012-03-12,25.62,25.71,25.15,25.39,4006300,25.467499999999998
20,2012-03-13,25.48,26.1,25.33,26.07,8361200,25.744999999999997
21,2012-03-14,26.13,26.59,26.0,26.32,9082600,26.259999999999998
22,2012-03-15,26.37,26.58,25.88,26.05,10133700,26.22
23,2012-03-16,26.07,26.07,25.26,25.57,11752400,25.7425
24,2012-03-19,25.5,25.7,25.24,25.39,5462700,25.4575
25,2012-03-20,25.1,25.42,24.6,25.09,10819300,25.052500000000002
26,2012-03-21,25.17,25.49,25.1,25.29,6122800,25.262499999999996
27,2012-03-22,25.01,25.26,24.87,25.05,5605800,25.0475
28,2012-03-23,25.04,25.32,24.77,25.17,5802800,25.075
29,2012-03-26,25.23,25.63,25.14,25.58,7957700,25.395
30,2012-03-27,25.42,25.85,25.34,25.35,6632500,25.490000000000002
31,2012-03-28,25.41,25.48,25.02,25.15,5162000,25.265
32,2012-03-29,25.02,25.37,24.94,25.31,6433300,25.16
33,2012-03-30,25.49,25.78,25.11,25.65,6035000,25.5075
34,2012-04-02,26.03,26.91,25.98,26.76,14465300,26.42
35,2012-04-03,26.64,27.03,25.27,25.54,26410400,26.119999999999997
36,2012-04-04,25.1,25.4,24.9,25.1,9785500,25.125
37,2012-04-05,24.99,25.18,24.61,24.81,8211300,24.8975
38,2012-04-09,24.22,24.4,24.03,24.2,7242200,24.212500000000002
39,2012-04-10,24.11,24.14,23.29,23.71,11856100,23.8125
40,2012-04-11,23.84,24.28,23.82,24.03,9260900,23.9925
41,2012-04-12,24.05,24.49,24.0,24.3,5041800,24.209999999999997
42,2012-04-13,24.22,24.29,23.62,23.8,7310900,23.982499999999998
43,2012-04-16,23.78,23.93,23.36,23.42,7528500,23.6225
44,2012-04-17,23.59,24.54,23.55,24.04,10256900,23.93
45,2012-04-18,23.87,24.29,23.75,24.15,6253300,24.015
46,2012-04-19,24.09,24.87,23.87,24.01,11206800,24.21
47,2012-04-20,24.06,24.06,23.52,23.6,12948000,23.810000000000002
48,2012-04-23,23.17,23.3,22.9,22.95,16187700,23.080000000000002
49,2012-04-24,23.02,23.4,22.88,22.89,8679500,23.0475
50,2012-04-25,23.15,23.36,22.89,23.31,5548200,23.177500000000002
51,2012-04-26,23.16,23.75,23.16,23.72,8132600,23.447499999999998
52,2012-04-27,23.81,24.09,23.34,23.53,10495300,23.6925
53,2012-04-30,23.38,23.49,22.8,23.0,8279100,23.1675
54,2012-05-01,23.04,23.48,22.6,23.31,10151600,23.1075
55,2012-05-02,23.19,23.25,22.63,22.93,14476300,23.0
56,2012-05-03,23.13,23.19,22.19,22.37,22816800,22.720000000000002
57,2012-05-04,22.2,22.41,21.82,22.36,14830800,22.1975
58,2012-05-07,21.87,22.5,21.85,22.41,7853500,22.1575
59,2012-05-08,22.25,22.35,21.87,22.23,9317900,22.175
60,2012-05-09,21.88,22.8,21.85,22.44,9812900,22.2425
61,2012-05-10,22.69,22.89,22.34,22.37,7235100,22.5725
