,datetime,open,high,low,close,volume,OHLC_avg,MA_30,MA_100,MA_200,MACD,MACD_h,MACD_s,RSI
0,2012-02-13,26.0,26.0,25.21,25.34,10503600,25.637500000000003,,,,,,,
1,2012-02-14,25.21,25.45,25.0,25.4,9885800,25.265,,,,,,,
2,2012-02-15,25.73,25.75,24.9,24.93,13329000,25.3275,,,,,,,
3,2012-02-16,25.29,27.26,25.27,27.17,35313600,26.2475,,,,,,,
4,2012-02-17,27.17,27.68,27.01,27.34,17603600,27.3,,,,,,,
5,2012-02-21,27.3,27.55,26.99,27.06,8593200,27.225,,,,,,,
6,2012-02-22,27.08,27.13,26.53,26.55,10693300,26.822499999999998,,,,,,,
7,2012-02-23,26.69,27.27,26.26,26.79,10300900,26.752499999999998,,,,,,,
8,2012-02-24,26.9,26.95,26.06,26.07,9404600,26.494999999999997,,,,,,,
9,2012-02-27,26.07,26.55,25.57,26.46,8600900,26.1625,,,,,,,
10,2012-02-28,26.49,26.53,26.1,26.14,7547000,26.315,,,,,,,
11,2012-02-29,26.07,26.55,25.92,26.02,12018900,26.14,,,,,,,
12,2012-03-01,26.19,26.8,26.15,26.47,8893300,26.4025,,,,,,,
13,2012-03-02,26.55,26.75,26.36,26.45,8465700,26.5275,,,,,,,
14,2012-03-05,26.27,26.4,25.8,26.0,7650500,26.1175,,,,,,,50.01314514999098
15,2012-03-06,25.31,25.34,24.38,24.58,19071300,24.9025,,,,,,,34.00611891177323
16,2012-03-07,24.75,25.21,24.75,24.88,6888800,24.8975,,,,,,,33.95795226716592
17,2012-03-08,25.37,25.59,25.1,25.45,8646700,25.3775,,,,,,,42.393558335511464
18,2012-03-09,25.7,25.82,25.39,25.62,6323600,25.6325,,,,,,,46.31657036417082
19,2012-03-12,25.62,25.71,25.15,25.39,4006300,25.467499999999998,,,,,,,44.21821866864315
20,2012-03-13,25.48,26.1,25.33,26.07,8361200,25.744999999999997,,,,,,,48.44829898453455
21,2012-03-14,26.13,26.59,26.0,26.32,9082600,26.259999999999998,,,,,,,55.23316872514264
22,2012-03-15,26.37,26.58,25.88,26.05,10133700,26.22,,,,,,,54.63174434762363
23,2012-03-16,26.07,26.07,25.26,25.57,11752400,25.7425,,,,,,,47.92324538519969
24,2012-03-19,25.5,25.7,25.24,25.39,5462700,25.4575,,,,,,,44.41742370780356
25,2012-03-20,25.1,25.42,24.6,25.09,10819300,25.052500000000002,,,,-0.11603735071228627,,,39.94538958391974
26,2012-03-21,25.17,25.49,25.1,25.29,6122800,25.262499999999996,,,,-0.1411335694824416,,,43.142017892176
27,2012-03-22,25.01,25.26,24.87,25.05,5605800,25.0475,,,,-0.17633848653048645,,,40.7504534828336
28,2012-03-23,25.04,25.32,24.77,25.17,5802800,25.075,,,,-0.1997173989011145,,,41.19944893348383
29,2012-03-26,25.23,25.63,25.14,25.58,7957700,25.395,25.87575,,,-0.1902311633065743,,,46.29909979333318
30,2012-03-27,25.42,25.85,25.34,25.35,6632500,25.490000000000002,25.870833333333334,,,-0.1730527033586462,,,47.747940925860476
31,2012-03-28,25.41,25.48,25.02,25.15,5162000,25.265,25.870833333333334,,,-0.17557040336116714,,,44.67372105488475
32,2012-03-29,25.02,25.37,24.94,25.31,6433300,25.16,25.86525,,,-0.1839182264017616,,,43.273508866908266
33,2012-03-30,25.49,25.78,25.11,25.65,6035000,25.5075,25.84058333333333,,,-0.16064181167400093,0.004412114854126126,-0.16505392652812706,48.97365960530531
34,2012-04-02,26.03,26.91,25.98,26.76,14465300,26.42,25.811249999999998,,,-0.06778260570012762,0.07781705666239958,-0.1455996623625272,60.26481545259085
35,2012-04-03,26.64,27.03,25.27,25.54,26410400,26.119999999999997,25.774416666666664,,,-0.01818883913142244,0.1019286585848838,-0.12011749771630624,55.886341923511345
36,2012-04-04,25.1,25.4,24.9,25.1,9785500,25.125,25.71783333333333,,,-0.05849926316868448,0.04929458763809741,-0.10779385080678189,44.371678152341644
37,2012-04-05,24.99,25.18,24.61,24.81,8211300,24.8975,25.656000000000002,,,-0.10756299410194003,0.0001846853638734769,-0.10774767946581351,42.22927026798024
38,2012-04-09,24.22,24.4,24.03,24.2,7242200,24.212500000000002,25.57991666666667,,,-0.1994213246724179,-0.07333891616528351,-0.1260824085071344,36.51271638564077
