,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,78.8,79.16,78.78,78.91,377800,78.9125
1,2012-02-14,79.87,80.0,79.57,80.0,573700,79.86
2,2012-02-15,82.9,83.09,82.38,82.56,954300,82.7325
3,2012-02-16,83.01,83.72,82.84,83.65,1599600,83.305
4,2012-02-17,83.75,83.8,83.12,83.36,305600,83.50750000000001
5,2012-02-21,83.17,83.49,82.86,83.22,383900,83.185
6,2012-02-22,83.98,84.36,83.93,84.31,498900,84.14500000000001
7,2012-02-23,83.88,84.11,83.36,84.07,360700,83.855
8,2012-02-24,84.21,84.9,84.21,84.54,567600,84.465
9,2012-02-27,82.99,83.85,82.77,83.6,387800,83.30249999999998
10,2012-02-28,84.24,84.81,84.1,84.65,368500,84.45
11,2012-02-29,83.63,83.93,82.68,82.71,505400,83.2375
12,2012-03-01,82.57,83.38,82.51,83.07,546000,82.8825
13,2012-03-02,81.41,81.59,80.83,81.57,836600,81.35
14,2012-03-05,81.38,81.45,80.89,81.24,524300,81.24
15,2012-03-06,80.31,80.32,79.7,80.15,611700,80.12
16,2012-03-07,80.43,80.81,80.27,80.72,339000,80.5575
17,2012-03-08,82.18,82.55,82.06,82.52,452400,82.3275
18,2012-03-09,83.45,83.94,83.34,83.81,503000,83.63499999999999
19,2012-03-12,83.18,83.18,82.61,82.78,271400,82.9375
20,2012-03-13,83.1,83.99,83.09,83.97,308000,83.5375
21,2012-03-14,84.06,84.2,83.31,83.54,344700,83.7775
22,2012-03-15,85.1,85.43,84.79,85.34,591300,85.16499999999999
23,2012-03-16,85.77,85.85,85.34,85.4,368200,85.59
24,2012-03-19,85.2,85.29,84.79,85.24,316100,85.13000000000001
25,2012-03-20,84.43,84.86,84.1,84.66,303800,84.5125
26,2012-03-21,84.07,84.23,83.79,83.96,283500,84.0125
27,2012-03-22,83.97,84.72,83.96,84.43,516900,84.27
28,2012-03-23,83.36,83.76,82.97,83.76,437500,83.4625
29,2012-03-26,84.19,84.59,83.8,84.35,559000,84.23249999999999
30,2012-03-27,85.86,86.0,85.4,85.64,487600,85.725
31,2012-03-28,87.1,87.14,86.21,86.7,731500,86.7875
32,2012-03-29,85.8,86.17,85.44,86.06,376000,85.86749999999999
33,2012-03-30,87.12,87.15,86.54,86.82,270400,86.9075
34,2012-04-02,85.66,86.98,85.63,86.69,554800,86.24
35,2012-04-03,86.66,86.77,85.74,86.22,437400,86.3475
36,2012-04-04,83.77,83.85,82.97,83.6,627000,83.5475
37,2012-04-05,83.3,83.93,83.22,83.86,329800,83.5775
38,2012-04-09,81.61,82.03,81.4,81.7,440400,81.685
39,2012-04-10,81.96,82.42,80.69,80.94,745300,81.5025
40,2012-04-11,82.42,82.59,81.76,82.51,479700,82.32
