,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,8.27,8.31,8.21,8.25,308490200,8.26
1,2012-02-14,8.15,8.17,7.95,7.98,384682800,8.0625
2,2012-02-15,8.01,8.12,7.77,7.78,372981400,7.92
3,2012-02-16,7.71,8.13,7.66,8.09,337131800,7.8975
4,2012-02-17,8.04,8.08,7.92,8.02,355445600,8.015
5,2012-02-21,8.03,8.2,8.0,8.11,333407700,8.084999999999999
6,2012-02-22,8.06,8.13,7.95,7.95,228867800,8.0225
7,2012-02-23,7.97,8.05,7.9,8.02,144231800,7.985
8,2012-02-24,8.05,8.09,7.88,7.88,163128200,7.975
9,2012-02-27,7.79,8.05,7.67,8.04,298930800,7.887499999999999
10,2012-02-28,8.05,8.15,8.0,8.12,193443200,8.08
11,2012-02-29,8.16,8.24,7.97,7.97,266720500,8.084999999999999
12,2012-03-01,8.09,8.17,8.05,8.12,197850100,8.1075
13,2012-03-02,8.11,8.21,8.1,8.13,143887500,8.137500000000001
14,2012-03-05,8.09,8.13,7.95,7.97,196328300,8.035
15,2012-03-06,7.78,7.79,7.66,7.71,262871200,7.735
16,2012-03-07,7.81,8.02,7.77,8.02,328331900,7.904999999999999
17,2012-03-08,8.07,8.12,8.0,8.06,160282000,8.0625
18,2012-03-09,8.12,8.19,8.01,8.05,195281400,8.092500000000001
19,2012-03-12,8.01,8.06,7.91,7.99,165298900,7.9925
20,2012-03-13,8.07,8.5,8.05,8.49,385984100,8.2775
21,2012-03-14,8.66,8.9,8.56,8.84,488077000,8.740000000000002
22,2012-03-15,8.98,9.25,8.85,9.24,489593000,9.08
23,2012-03-16,9.41,9.8,9.33,9.8,582294100,9.585
24,2012-03-19,9.78,10.1,9.51,9.53,669479900,9.73
25,2012-03-20,9.63,9.97,9.59,9.81,451213900,9.75
26,2012-03-21,9.96,10.03,9.74,9.82,326573800,9.887500000000001
27,2012-03-22,9.66,9.77,9.52,9.6,264520500,9.6375
28,2012-03-23,9.47,9.85,9.4,9.85,283110900,9.6425
29,2012-03-26,10.01,10.04,9.85,9.93,241605700,9.9575
30,2012-03-27,9.87,9.9,9.58,9.6,250069600,9.7375
31,2012-03-28,9.62,9.78,9.58,9.75,234021500,9.6825
32,2012-03-29,9.63,9.68,9.43,9.53,253625800,9.5675
33,2012-03-30,9.61,9.64,9.35,9.57,250234500,9.5425
34,2012-04-02,9.54,9.78,9.41,9.68,179229000,9.6025
35,2012-04-03,9.67,9.67,9.41,9.49,190453400,9.56
36,2012-04-04,9.35,9.36,9.15,9.2,228560600,9.265
37,2012-04-05,9.14,9.4,9.11,9.23,180868100,9.219999999999999
38,2012-04-09,9.04,9.04,8.83,8.93,211427600,8.959999999999999
39,2012-04-10,8.97,9.09,8.5,8.54,377220000,8.775
40,2012-04-11,8.78,8.91,8.72,8.86,252563700,8.817499999999999
41,2012-04-12,8.93,9.18,8.91,9.17,223979900,9.0475
42,2012-04-13,9.08,9.08,8.68,8.68,282354600,8.879999999999999
43,2012-04-16,8.87,8.93,8.62,8.79,217284500,8.802499999999998
44,2012-04-17,8.97,9.0,8.87,8.92,193424400,8.94
45,2012-04-18,8.88,9.0,8.84,8.92,160064100,8.91
46,2012-04-19,9.16,9.17,8.67,8.77,348804500,8.942499999999999
47,2012-04-20,8.78,8.78,8.33,8.36,277965300,8.5625
48,2012-04-23,8.02,8.3,7.95,8.18,256073900,8.1125
49,2012-04-24,8.25,8.27,8.1,8.21,192443800,8.2075
