,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,33.47,33.59,32.86,32.88,54999100,33.2
1,2012-02-14,32.68,32.7,31.35,32.08,54665300,32.2025
2,2012-02-15,32.33,32.7,31.53,31.72,49170100,32.07
3,2012-02-16,31.43,32.72,31.07,32.71,51924500,31.9825
4,2012-02-17,32.88,33.07,32.62,32.92,30968200,32.8725
5,2012-02-21,32.97,33.53,32.91,33.36,45487500,33.192499999999995
6,2012-02-22,32.97,33.09,32.28,32.36,38321200,32.675
7,2012-02-23,32.4,32.92,32.08,32.71,34682100,32.527499999999996
8,2012-02-24,32.81,32.98,32.2,32.35,26596200,32.585
9,2012-02-27,32.05,33.03,31.93,32.93,36057200,32.485
10,2012-02-28,32.97,33.61,32.94,33.48,38179400,33.25
11,2012-02-29,33.52,34.0,33.26,33.32,43322100,33.525
12,2012-03-01,33.52,34.45,33.52,34.13,47853800,33.905
13,2012-03-02,34.25,34.48,34.08,34.1,32112000,34.2275
14,2012-03-05,33.94,34.0,33.41,33.68,33306000,33.7575
15,2012-03-06,32.76,32.95,31.77,32.12,49832100,32.4
16,2012-03-07,32.48,33.36,32.32,33.24,34763400,32.85
17,2012-03-08,33.68,34.02,33.21,34.0,35951400,33.7275
18,2012-03-09,34.31,34.89,34.09,34.2,42006000,34.3725
19,2012-03-12,33.92,34.31,33.54,34.29,38513800,34.015
20,2012-03-13,34.97,36.72,34.87,36.45,91242400,35.7525
21,2012-03-14,35.25,36.1,34.88,35.21,113680500,35.36
22,2012-03-15,35.47,36.59,35.08,36.27,61559900,35.8525
23,2012-03-16,36.49,36.8,36.27,36.69,46028600,36.5625
24,2012-03-19,36.78,38.4,36.54,37.17,72146000,37.2225
25,2012-03-20,36.85,38.39,36.72,38.08,58269900,37.510000000000005
26,2012-03-21,38.21,38.32,37.32,37.8,46300300,37.912499999999994
27,2012-03-22,37.28,37.5,36.55,36.9,51433700,37.0575
28,2012-03-23,36.76,37.39,36.66,37.13,34154700,36.985
29,2012-03-26,37.6,37.69,37.18,37.43,27895100,37.475
30,2012-03-27,37.4,37.72,36.77,36.78,31146600,37.167500000000004
31,2012-03-28,36.71,37.24,36.52,37.06,36305600,36.8825
32,2012-03-29,36.63,36.78,35.93,36.51,32684100,36.4625
33,2012-03-30,36.7,36.8,36.25,36.55,23966200,36.575
34,2012-04-02,36.4,37.14,36.16,36.87,23825400,36.6425
35,2012-04-03,36.7,36.84,36.0,36.37,30799800,36.4775
36,2012-04-04,35.88,35.89,34.82,35.04,45697800,35.4075
37,2012-04-05,34.73,35.28,34.53,34.79,31465700,34.832499999999996
38,2012-04-09,34.0,34.27,33.58,33.97,34335400,33.955
39,2012-04-10,33.95,34.4,32.7,32.86,58489800,33.4775
40,2012-04-11,33.59,33.99,33.28,33.59,30680500,33.612500000000004
41,2012-04-12,33.8,34.87,33.61,34.63,36908700,34.2275
42,2012-04-13,34.62,34.66,33.16,33.41,41220900,33.9625
43,2012-04-16,34.17,34.7,33.76,34.0,59668700,34.1575
44,2012-04-17,34.82,35.41,34.43,35.08,52307900,34.935
45,2012-04-18,34.89,35.99,34.89,35.08,41510700,35.2125
