,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,44.53,44.63,44.26,44.55,1429400,44.49249999999999
1,2012-02-14,44.05,44.17,43.72,44.06,1276100,44.0
2,2012-02-15,45.06,45.21,44.77,44.9,2269200,44.98500000000001
3,2012-02-16,44.83,45.49,44.72,45.42,1904300,45.114999999999995
4,2012-02-17,46.02,46.02,45.61,45.81,1630300,45.865
5,2012-02-21,45.71,45.89,45.49,45.65,1530000,45.685
6,2012-02-22,45.21,45.34,44.95,45.18,1716500,45.17
7,2012-02-23,44.95,45.37,44.78,45.34,2198600,45.11
8,2012-02-24,45.32,45.77,45.29,45.6,1316600,45.495
9,2012-02-27,43.69,43.98,43.31,43.95,3469700,43.7325
10,2012-02-28,44.11,44.8,44.0,44.76,2967400,44.4175
11,2012-02-29,44.82,45.05,44.25,44.42,4624100,44.635000000000005
12,2012-03-01,44.92,45.33,44.9,45.3,1871600,45.1125
13,2012-03-02,45.23,45.28,44.96,45.06,983600,45.1325
14,2012-03-05,44.45,44.52,44.18,44.45,1511700,44.400000000000006
15,2012-03-06,43.26,43.73,42.91,43.16,2529100,43.26499999999999
16,2012-03-07,43.24,43.56,43.12,43.48,2910700,43.35
17,2012-03-08,43.81,44.19,43.6,44.03,1826000,43.9075
18,2012-03-09,43.55,43.87,43.49,43.72,2035400,43.6575
19,2012-03-12,43.47,43.71,43.17,43.59,2559600,43.48500000000001
20,2012-03-13,44.5,45.4,44.37,45.36,2847100,44.9075
21,2012-03-14,45.32,45.43,44.9,45.07,1986000,45.18
22,2012-03-15,44.82,45.23,44.62,45.19,2131400,44.964999999999996
23,2012-03-16,45.96,46.08,45.78,45.87,2941800,45.9225
24,2012-03-19,45.61,46.02,45.57,45.84,1727700,45.76
25,2012-03-20,44.86,45.13,44.7,44.92,2068800,44.9025
26,2012-03-21,44.95,45.03,44.73,44.87,1254900,44.895
27,2012-03-22,44.33,44.71,44.3,44.58,1488800,44.47999999999999
28,2012-03-23,43.97,44.48,43.81,44.4,1537200,44.165
29,2012-03-26,44.42,45.01,44.39,44.91,1588100,44.6825
30,2012-03-27,45.52,45.53,44.93,44.93,1446200,45.227500000000006
31,2012-03-28,44.79,44.82,44.26,44.58,2049800,44.6125
32,2012-03-29,43.94,44.01,43.51,43.96,3355800,43.855
33,2012-03-30,44.23,44.52,44.07,44.39,1693500,44.302499999999995
34,2012-04-02,43.88,44.98,43.75,44.69,1904400,44.325
35,2012-04-03,45.03,45.08,44.5,44.8,9042500,44.852500000000006
36,2012-04-04,44.25,44.52,44.0,44.35,7813100,44.28
37,2012-04-05,43.67,44.03,43.59,43.84,2244600,43.782500000000006
38,2012-04-09,43.36,43.75,43.3,43.52,1342000,43.4825
39,2012-04-10,43.38,43.45,42.3,42.42,3229700,42.8875
40,2012-04-11,43.17,43.37,42.84,42.94,2329600,43.08
41,2012-04-12,43.11,43.99,43.08,43.75,2284400,43.4825
42,2012-04-13,43.56,43.56,42.92,42.96,2162000,43.25000000000001
43,2012-04-16,43.36,43.42,42.87,43.09,2357500,43.185
44,2012-04-17,43.77,44.19,43.54,44.05,2350300,43.8875
45,2012-04-18,44.03,44.45,44.01,44.25,1964800,44.185
46,2012-04-19,44.69,44.93,44.2,44.44,2170100,44.565
47,2012-04-20,44.82,44.93,44.57,44.69,1617400,44.7525
48,2012-04-23,43.88,44.16,43.64,44.13,1516500,43.9525
49,2012-04-24,43.99,44.76,43.97,44.74,2276500,44.365
50,2012-04-25,44.89,45.14,44.57,44.84,1438200,44.86
51,2012-04-26,44.43,45.23,44.37,45.06,2441900,44.7725
52,2012-04-27,45.44,45.74,45.11,45.58,3138700,45.4675
53,2012-04-30,45.38,45.43,44.91,45.17,1210000,45.2225
54,2012-05-01,45.41,46.13,45.35,45.96,1981500,45.7125
