,datetime,open,high,low,close,volume,OHLC_avg,MA_30,MA_100,MA_200,MACD,MACD_h,MACD_s,RSI
0,2012-02-13,44.53,44.63,44.26,44.55,1429400,44.49249999999999,,,,,,,
1,2012-02-14,44.05,44.17,43.72,44.06,1276100,44.0,,,,,,,
2,2012-02-15,45.06,45.21,44.77,44.9,2269200,44.98500000000001,,,,,,,
3,2012-02-16,44.83,45.49,44.72,45.42,1904300,45.114999999999995,,,,,,,
4,2012-02-17,46.02,46.02,45.61,45.81,1630300,45.865,,,,,,,
5,2012-02-21,45.71,45.89,45.49,45.65,1530000,45.685,,,,,,,
6,2012-02-22,45.21,45.34,44.95,45.18,1716500,45.17,,,,,,,
7,2012-02-23,44.95,45.37,44.78,45.34,2198600,45.11,,,,,,,
8,2012-02-24,45.32,45.77,45.29,45.6,1316600,45.495,,,,,,,
9,2012-02-27,43.69,43.98,43.31,43.95,3469700,43.7325,,,,,,,
10,2012-02-28,44.11,44.8,44.0,44.76,2967400,44.4175,,,,,,,
11,2012-02-29,44.82,45.05,44.25,44.42,4624100,44.635000000000005,,,,,,,
12,2012-03-01,44.92,45.33,44.9,45.3,1871600,45.1125,,,,,,,
13,2012-03-02,45.23,45.28,44.96,45.06,983600,45.1325,,,,,,,
14,2012-03-05,44.45,44.52,44.18,44.45,1511700,44.400000000000006,,,,,,,46.092335070096524
15,2012-03-06,43.26,43.73,42.91,43.16,2529100,43.26499999999999,,,,,,,36.6276425319745
16,2012-03-07,43.24,43.56,43.12,43.48,2910700,43.35,,,,,,,37.66005201071615
17,2012-03-08,43.81,44.19,43.6,44.03,1826000,43.9075,,,,,,,44.093251038061915
18,2012-03-09,43.55,43.87,43.49,43.72,2035400,43.6575,,,,,,,42.00014531425049
19,2012-03-12,43.47,43.71,43.17,43.59,2559600,43.48500000000001,,,,,,,40.56911653229807
20,2012-03-13,44.5,45.4,44.37,45.36,2847100,44.9075,,,,,,,54.374612189436604
21,2012-03-14,45.32,45.43,44.9,45.07,1986000,45.18,,,,,,,56.461101526345736
22,2012-03-15,44.82,45.23,44.62,45.19,2131400,44.964999999999996,,,,,,,54.34926680040696
23,2012-03-16,45.96,46.08,45.78,45.87,2941800,45.9225,,,,,,,61.29289254072362
24,2012-03-19,45.61,46.02,45.57,45.84,1727700,45.76,,,,,,,59.635064405076186
25,2012-03-20,44.86,45.13,44.7,44.92,2068800,44.9025,,,,0.15233708141263236,,,51.68993743332828
26,2012-03-21,44.95,45.03,44.73,44.87,1254900,44.895,,,,0.14404186605852232,,,51.62515275343525
27,2012-03-22,44.33,44.71,44.3,44.58,1488800,44.47999999999999,,,,0.10279584985734402,,,48.037439861384705
28,2012-03-23,43.97,44.48,43.81,44.4,1537200,44.165,,,,0.04418092719422617,,,45.455253651090416
29,2012-03-26,44.42,45.01,44.39,44.91,1588100,44.6825,44.69575,,,0.03903611966963183,,,50.19211116789543
30,2012-03-27,45.52,45.53,44.93,44.93,1446200,45.227500000000006,44.72024999999999,,,0.07803621497463809,,,54.658009276843764
31,2012-03-28,44.79,44.82,44.26,44.58,2049800,44.6125,44.74066666666667,,,0.05864271454436931,,,49.287552497744784
32,2012-03-29,43.94,44.01,43.51,43.96,3355800,43.855,44.702999999999996,,,-0.017647266870156386,,,43.6045085257146
33,2012-03-30,44.23,44.52,44.07,44.39,1693500,44.302499999999995,44.675916666666666,,,-0.04151950567788987,-0.08897143588556729,0.04745193020767742,47.458752728123336
34,2012-04-02,43.88,44.98,43.75,44.69,1904400,44.325,44.624583333333334,,,-0.057954798126360174,-0.08432538266723008,0.026370584540869907,47.65246860193548
35,2012-04-03,45.03,45.08,44.5,44.8,9042500,44.852500000000006,44.59683333333333,,,-0.02809122613441417,-0.04356944854022726,0.015478222405813093,52.110374547116756
