,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,106.16,106.53,105.45,106.38,4695500,106.13
1,2012-02-14,106.25,106.53,105.57,106.49,5974800,106.21000000000001
2,2012-02-15,106.24,106.24,104.59,105.0,6553800,105.5175
3,2012-02-16,105.52,106.57,104.8,106.52,5733900,105.85249999999999
4,2012-02-17,107.02,107.24,106.04,106.66,5666500,106.74000000000001
5,2012-02-21,107.51,108.5,107.44,108.41,7149000,107.965
6,2012-02-22,108.16,108.56,107.2,107.5,7150000,107.855
7,2012-02-23,107.54,108.5,107.32,108.35,5504800,107.92750000000001
8,2012-02-24,108.8,109.4,108.5,109.08,5833300,108.945
9,2012-02-27,108.29,110.22,108.28,109.63,7723400,109.10499999999999
10,2012-02-28,109.68,110.4,109.18,109.61,9132500,109.7175
11,2012-02-29,110.4,110.92,108.92,109.12,10572800,109.84
12,2012-03-01,109.17,110.14,109.1,109.76,5980100,109.54249999999999
13,2012-03-02,109.5,109.87,109.0,109.61,5377100,109.495
14,2012-03-05,109.14,109.45,108.14,109.32,5941500,109.0125
15,2012-03-06,108.14,109.03,108.0,108.85,7480800,108.505
16,2012-03-07,109.0,109.95,108.19,109.46,6867900,109.14999999999999
17,2012-03-08,109.8,110.57,109.56,110.03,5505400,109.99000000000001
18,2012-03-09,109.89,110.41,109.37,109.57,5704200,109.81
19,2012-03-12,109.65,110.0,109.16,110.0,5324700,109.7025
20,2012-03-13,110.22,111.31,109.43,111.19,7331000,110.53750000000001
21,2012-03-14,111.05,112.28,110.54,110.69,8819400,111.14
22,2012-03-15,110.51,110.93,109.46,110.03,8899400,110.23249999999999
23,2012-03-16,110.43,110.83,110.1,110.28,11092500,110.41
24,2012-03-19,110.52,111.06,110.3,110.7,5695000,110.645
25,2012-03-20,109.93,109.93,108.93,109.08,6158300,109.4675
26,2012-03-21,108.95,109.02,107.35,107.91,7549900,108.3075
27,2012-03-22,106.85,106.99,105.03,105.35,8282100,106.055
28,2012-03-23,105.68,106.9,104.85,106.36,6600300,105.9475
29,2012-03-26,107.23,107.97,106.83,107.84,5311100,107.4675
30,2012-03-27,107.88,108.0,107.01,107.04,4327700,107.4825
31,2012-03-28,106.57,106.96,105.2,105.89,6816400,106.15499999999999
32,2012-03-29,105.08,107.02,104.92,106.85,5793900,105.9675
33,2012-03-30,107.04,107.25,106.41,107.21,6121000,106.9775
34,2012-04-02,106.85,108.79,106.6,108.3,5188400,107.635
35,2012-04-03,107.93,108.23,106.23,107.14,4690300,107.38250000000001
36,2012-04-04,106.25,106.26,105.03,105.6,5430600,105.785
37,2012-04-05,105.17,105.9,104.33,104.75,5982700,105.0375
38,2012-04-09,103.3,104.08,102.85,103.49,4983400,103.43
39,2012-04-10,103.25,103.38,101.4,101.45,8907500,102.36999999999999
40,2012-04-11,102.31,102.45,100.78,100.95,8570100,101.62249999999999
41,2012-04-12,100.89,102.86,100.51,102.59,6451900,101.7125
42,2012-04-13,102.29,102.36,100.72,100.78,6847100,101.5375
43,2012-04-16,101.62,102.24,101.17,101.51,6065100,101.635
44,2012-04-17,102.46,104.09,102.34,103.62,5500900,103.1275
45,2012-04-18,103.42,103.97,102.85,103.39,4836200,103.4075
46,2012-04-19,103.27,103.64,102.18,102.51,6768400,102.9
47,2012-04-20,103.11,103.84,102.42,102.52,5814700,102.9725
48,2012-04-23,101.19,102.72,100.89,102.44,5590600,101.81
49,2012-04-24,102.77,103.17,102.14,103.03,4104400,102.7775
50,2012-04-25,103.56,103.89,102.62,103.85,5308500,103.47999999999999
51,2012-04-26,104.0,106.7,103.99,106.22,8535300,105.22749999999999
52,2012-04-27,106.78,106.8,105.67,106.2,5433500,106.3625
53,2012-04-30,106.16,106.61,105.81,106.56,4727100,106.285
54,2012-05-01,106.74,108.79,106.39,108.27,6179900,107.5475
55,2012-05-02,107.51,107.65,106.59,107.03,4834400,107.195
