,datetime,open,high,low,close,volume,OHLC_avg,MA_30,MA_100,MA_200,MACD,MACD_h,MACD_s,RSI
0,2012-02-13,106.16,106.53,105.45,106.38,4695500,106.13,,,,,,,
1,2012-02-14,106.25,106.53,105.57,106.49,5974800,106.21000000000001,,,,,,,
2,2012-02-15,106.24,106.24,104.59,105.0,6553800,105.5175,,,,,,,
3,2012-02-16,105.52,106.57,104.8,106.52,5733900,105.85249999999999,,,,,,,
4,2012-02-17,107.02,107.24,106.04,106.66,5666500,106.74000000000001,,,,,,,
5,2012-02-21,107.51,108.5,107.44,108.41,7149000,107.965,,,,,,,
6,2012-02-22,108.16,108.56,107.2,107.5,7150000,107.855,,,,,,,
7,2012-02-23,107.54,108.5,107.32,108.35,5504800,107.92750000000001,,,,,,,
8,2012-02-24,108.8,109.4,108.5,109.08,5833300,108.945,,,,,,,
9,2012-02-27,108.29,110.22,108.28,109.63,7723400,109.10499999999999,,,,,,,
10,2012-02-28,109.68,110.4,109.18,109.61,9132500,109.7175,,,,,,,
11,2012-02-29,110.4,110.92,108.92,109.12,10572800,109.84,,,,,,,
12,2012-03-01,109.17,110.14,109.1,109.76,5980100,109.54249999999999,,,,,,,
13,2012-03-02,109.5,109.87,109.0,109.61,5377100,109.495,,,,,,,
14,2012-03-05,109.14,109.45,108.14,109.32,5941500,109.0125,,,,,,,69.65036613068753
15,2012-03-06,108.14,109.03,108.0,108.85,7480800,108.505,,,,,,,60.72478936227985
16,2012-03-07,109.0,109.95,108.19,109.46,6867900,109.14999999999999,,,,,,,66.58556802473075
17,2012-03-08,109.8,110.57,109.56,110.03,5505400,109.99000000000001,,,,,,,72.3684717009449
18,2012-03-09,109.89,110.41,109.37,109.57,5704200,109.81,,,,,,,69.58919620571085
19,2012-03-12,109.65,110.0,109.16,110.0,5324700,109.7025,,,,,,,67.91175316676788
20,2012-03-13,110.22,111.31,109.43,111.19,7331000,110.53750000000001,,,,,,,73.2962064978892
21,2012-03-14,111.05,112.28,110.54,110.69,8819400,111.14,,,,,,,76.3765190048631
22,2012-03-15,110.51,110.93,109.46,110.03,8899400,110.23249999999999,,,,,,,64.33822001326307
23,2012-03-16,110.43,110.83,110.1,110.28,11092500,110.41,,,,,,,65.4841555178175
24,2012-03-19,110.52,111.06,110.3,110.7,5695000,110.645,,,,,,,66.99623570927673
25,2012-03-20,109.93,109.93,108.93,109.08,6158300,109.4675,,,,0.8311748613782157,,,54.186858119457874
26,2012-03-21,108.95,109.02,107.35,107.91,7549900,108.3075,,,,0.6448195833977763,,,45.048997777542155
27,2012-03-22,106.85,106.99,105.03,105.35,8282100,106.055,,,,0.31177975496980537,,,33.304289924341106
28,2012-03-23,105.68,106.9,104.85,106.36,6600300,105.9475,,,,0.03872257024740122,,,32.86393286040769
29,2012-03-26,107.23,107.97,106.83,107.84,5311100,107.4675,108.57408333333333,,,-0.054398843084953796,,,44.115563609082734
30,2012-03-27,107.88,108.0,107.01,107.04,4327700,107.4825,108.61916666666666,,,-0.1255407043215797,,,44.21492323877192
31,2012-03-28,106.57,106.96,105.2,105.89,6816400,106.15499999999999,108.61733333333333,,,-0.2857454023921946,,,37.80823681984046
32,2012-03-29,105.08,107.02,104.92,106.85,5793900,105.9675,108.63233333333332,,,-0.4229628108248136,,,36.99290488380539
33,2012-03-30,107.04,107.25,106.41,107.21,6121000,106.9775,108.66983333333333,,,-0.4450794378210219,-0.4198800238620521,-0.02519941395896981,43.99860667100104
34,2012-04-02,106.85,108.79,106.6,108.3,5188400,107.635,108.69966666666667,,,-0.4048850066890566,-0.3037484741840694,-0.10113653250498718,48.04829033635386
35,2012-04-03,107.93,108.23,106.23,107.14,4690300,107.38250000000001,108.68025000000002,,,-0.3889220192587146,-0.23022838940298193,-0.15869362985573268,46.65303878641753
