,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,146.38461,146.76923,145.38461,146.69231,13558883,146.30769
1,2012-02-14,145.61539,146.84616,144.61539,145.69231,5099822,145.69231249999999
2,2012-02-15,146.23077,146.30769,143.84616,144.30769,5387044,145.1730775
3,2012-02-16,145.07692,146.38461,144.61539,146.23077,5266391,145.57692250000002
4,2012-02-17,147.53847,148.61539,147.0,148.30769,7549984,147.8653875
5,2012-02-21,149.38461,150.0,148.61539,149.30769,5450146,149.3269225
6,2012-02-22,149.46153,149.76923,147.53847,149.15384,5314244,148.9807675
7,2012-02-23,146.69231,149.0,146.15384,148.53847,5931692,147.596155
8,2012-02-24,148.92308,149.0,147.23077,148.0,3110224,148.2884625
9,2012-02-27,146.30769,147.38461,146.0,146.69231,4877847,146.59615250000002
10,2012-02-28,147.07692,147.61539,146.07692,147.38461,4552951,147.03846
11,2012-02-29,147.53847,148.07692,146.23077,146.53847,5805553,147.0961575
12,2012-03-01,147.30769,147.61539,146.38461,147.07692,4853472,147.09615250000002
13,2012-03-02,147.23077,147.23077,145.38461,145.92308,4709965,146.4423075
14,2012-03-05,145.76923,146.0,144.07692,145.0,4624438,145.2115375
15,2012-03-06,143.07692,143.15384,140.92308,141.69231,7312370,142.21153750000002
16,2012-03-07,142.92308,145.0,142.69231,144.38461,7078656,143.75
17,2012-03-08,146.0,146.84616,145.53847,146.38461,4678037,146.19231000000002
18,2012-03-09,146.30769,147.53847,145.53847,146.46153,4872374,146.46154
19,2012-03-12,146.84616,147.61539,146.46153,147.15384,4595422,147.01923
20,2012-03-13,147.69231,151.23077,146.84616,150.69231,8310276,149.1153875
21,2012-03-14,151.0,153.0,150.61539,152.23077,9275838,151.71154
22,2012-03-15,152.84616,155.38461,152.76923,155.07692,9922666,154.01923
23,2012-03-16,155.84616,156.15384,153.92308,155.38461,10300862,155.32692250000002
24,2012-03-19,154.46153,156.61539,154.30769,155.46153,5554536,155.211535
25,2012-03-20,154.0,155.46153,153.69231,154.38461,6179628,154.3846125
26,2012-03-21,155.07692,156.30769,154.15384,154.38461,6643208,154.98076500000002
27,2012-03-22,153.46153,153.53847,151.46153,152.69231,6598657,152.78846000000001
28,2012-03-23,152.23077,153.15384,151.53847,152.15384,4447599,152.26923
29,2012-03-26,153.69231,154.69231,153.23077,154.23077,5585268,153.96154
30,2012-03-27,154.76923,154.92308,153.92308,154.15384,4981730,154.44230750000003
31,2012-03-28,154.0,161.53847,152.07692,153.92308,7206056,155.3846175
32,2012-03-29,152.46153,153.61539,151.61539,153.46153,5286203,152.78846
33,2012-03-30,154.38461,154.84616,153.46153,154.38461,5325671,154.2692275
34,2012-04-02,154.07692,154.69231,153.07692,154.0,5741983,153.9615375
35,2012-04-03,153.61539,154.0,152.30769,153.53847,5693714,153.3653875
36,2012-04-04,151.15384,152.38461,150.92308,151.84616,5680103,151.57692250000002
37,2012-04-05,150.84616,151.61539,149.69231,149.92308,5195294,150.519235
38,2012-04-09,146.92308,148.23077,146.69231,147.69231,4726969,147.38461750000002
39,2012-04-10,147.07692,147.15384,143.84616,144.15384,7078552,145.55769
40,2012-04-11,146.30769,147.30769,146.0,146.23077,4917653,146.46153750000002
41,2012-04-12,146.23077,148.61539,145.84616,148.46153,3668015,147.2884625
42,2012-04-13,147.53847,147.53847,145.07692,145.23077,5240651,146.3461575
43,2012-04-16,146.0,147.15384,145.0,145.38461,3907787,145.8846125
