,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,84.34,84.6,83.89,84.42,11473700,84.3125
1,2012-02-14,84.42,84.71,83.85,84.67,12961900,84.4125
2,2012-02-15,84.86,84.92,83.91,84.12,13911600,84.4525
3,2012-02-16,84.45,85.62,84.08,85.41,14769600,84.88999999999999
4,2012-02-17,86.07,86.12,84.92,85.62,16597200,85.6825
5,2012-02-21,86.04,86.78,86.04,86.57,15481300,86.3575
6,2012-02-22,86.84,87.25,86.65,86.92,11983200,86.915
7,2012-02-23,86.58,87.17,86.47,87.02,12404600,86.81
8,2012-02-24,87.37,87.47,87.01,87.34,10767100,87.29750000000001
9,2012-02-27,87.15,87.83,86.78,87.23,13323500,87.2475
10,2012-02-28,87.23,87.44,86.55,87.14,14317600,87.09
11,2012-02-29,87.45,87.49,86.21,86.5,18293200,86.9125
12,2012-03-01,86.47,87.18,86.41,86.83,12638500,86.7225
13,2012-03-02,86.66,86.75,85.85,86.33,11343400,86.3975
14,2012-03-05,86.17,87.09,85.91,87.01,12803100,86.54499999999999
15,2012-03-06,86.24,86.48,85.42,85.86,16507900,86.0
16,2012-03-07,86.01,86.12,85.19,85.83,14767700,85.7875
17,2012-03-08,85.0,85.47,84.63,84.83,19032000,84.9825
18,2012-03-09,85.06,85.13,84.05,84.3,17042500,84.635
19,2012-03-12,84.5,85.75,84.13,85.55,19014000,84.9825
20,2012-03-13,85.89,86.93,85.61,86.86,16853300,86.3225
21,2012-03-14,86.59,86.83,85.74,86.02,16187300,86.295
22,2012-03-15,85.89,86.2,85.25,86.09,14523600,85.85750000000002
23,2012-03-16,86.2,86.89,85.92,86.44,30991300,86.3625
24,2012-03-19,86.08,87.18,86.03,86.99,10770400,86.57
25,2012-03-20,86.46,87.1,86.32,86.6,13613800,86.62
26,2012-03-21,86.59,86.59,85.77,86.01,14212400,86.24
27,2012-03-22,85.48,85.94,85.1,85.33,13884400,85.46249999999999
28,2012-03-23,85.36,85.98,85.02,85.55,12557700,85.4775
29,2012-03-26,86.18,87.25,86.07,87.03,17336800,86.6325
30,2012-03-27,87.14,87.25,86.54,86.62,12509200,86.8875
31,2012-03-28,86.36,86.48,85.14,85.86,16155300,85.96000000000001
32,2012-03-29,85.32,86.13,84.91,86.08,13199700,85.61
33,2012-03-30,86.48,86.76,86.09,86.73,12968300,86.51500000000001
34,2012-04-02,86.6,87.67,86.31,87.07,13853300,86.9125
35,2012-04-03,86.75,86.78,85.0,85.83,17714900,86.08999999999999
36,2012-04-04,85.3,85.36,84.49,84.98,17112800,85.0325
37,2012-04-05,84.56,85.38,84.35,84.82,11954700,84.7775
38,2012-04-09,83.98,84.36,83.68,83.88,11027000,83.975
39,2012-04-10,83.75,83.75,81.88,82.17,19993700,82.8875
40,2012-04-11,83.11,83.35,82.15,82.7,15856200,82.8275
41,2012-04-12,82.65,83.73,82.36,83.6,15266200,83.08500000000001
42,2012-04-13,82.97,83.69,82.86,82.95,13856500,83.11749999999999
43,2012-04-16,83.24,84.39,83.13,84.01,17526100,83.6925
44,2012-04-17,84.65,85.6,84.57,85.45,14208000,85.0675
45,2012-04-18,85.06,86.05,85.02,85.75,12997500,85.47
46,2012-04-19,85.51,85.92,84.98,85.28,15973800,85.42250000000001
47,2012-04-20,85.55,85.92,85.03,85.3,17216600,85.45
48,2012-04-23,84.53,85.93,84.39,85.69,15197200,85.135
49,2012-04-24,85.64,86.39,85.64,86.31,11632500,85.995
50,2012-04-25,86.65,87.18,85.72,86.85,18476800,86.6
51,2012-04-26,85.28,86.2,85.15,86.07,17262400,85.675
52,2012-04-27,86.5,86.69,85.96,86.08,11372900,86.30749999999999
53,2012-04-30,85.96,86.8,85.87,86.34,11735400,86.2425
54,2012-05-01,86.46,87.52,86.13,87.04,13816900,86.78750000000001
55,2012-05-02,86.56,86.65,85.83,86.2,11108700,86.31
56,2012-05-03,86.36,86.39,85.31,85.65,9998600,85.92750000000001
57,2012-05-04,85.11,85.31,84.4,84.57,15055500,84.8475
58,2012-05-07,84.29,84.79,84.1,84.48,12018100,84.415
59,2012-05-08,83.75,84.26,82.92,84.02,19602400,83.7375
60,2012-05-09,83.04,84.07,82.88,83.31,17424000,83.325
61,2012-05-10,83.37,83.59,82.55,82.84,13234600,83.0875
62,2012-05-11,82.69,83.79,82.54,83.1,12061700,83.03
63,2012-05-14,82.27,82.46,81.96,82.12,12675900,82.2025
64,2012-05-15,82.0,82.73,81.53,81.79,15757400,82.0125
65,2012-05-16,81.96,83.15,81.79,82.17,15034500,82.26750000000001
66,2012-05-17,82.15,82.61,81.68,81.91,17698200,82.0875
67,2012-05-18,82.37,82.72,81.03,81.47,21747200,81.89750000000001
68,2012-05-21,81.42,82.13,81.07,82.04,13730400,81.665
69,2012-05-22,82.14,82.84,81.52,81.95,13790000,82.1125
70,2012-05-23,81.79,82.08,79.96,82.04,17582200,81.4675
71,2012-05-24,82.29,82.78,81.71,82.61,14113600,82.3475
72,2012-05-25,82.86,82.96,81.68,82.08,12756500,82.395
73,2012-05-29,82.64,82.64,81.32,81.93,15931100,82.1325
74,2012-05-30,81.08,81.38,79.59,79.79,19593100,80.46
75,2012-05-31,79.88,80.14,78.41,78.63,38954600,79.26499999999999
76,2012-06-01,77.87,78.56,77.47,77.92,22870900,77.955
77,2012-06-04,78.09,78.25,77.2,77.83,17711200,77.8425
78,2012-06-05,77.59,78.29,77.13,77.6,17715600,77.6525
79,2012-06-06,78.37,80.24,78.08,80.18,23880900,79.2175
80,2012-06-07,80.98,81.23,80.35,80.69,18409400,80.8125
81,2012-06-08,80.08,80.92,79.46,80.84,18150000,80.32499999999999
82,2012-06-11,81.62,81.85,80.17,80.27,18031800,80.97749999999999
83,2012-06-12,80.74,81.51,80.62,81.26,14162100,81.0325
84,2012-06-13,80.94,81.64,80.28,80.63,15098100,80.8725
85,2012-06-14,80.86,82.5,80.73,82.13,16942300,81.555
86,2012-06-15,82.57,83.45,82.22,83.22,27342800,82.865
87,2012-06-18,82.51,83.18,82.35,83.11,13885100,82.7875
88,2012-06-19,83.73,84.63,83.31,84.48,21053300,84.03750000000001
89,2012-06-20,84.4,85.39,84.06,84.97,23274300,84.70500000000001
90,2012-06-21,85.04,85.37,82.05,82.11,33751900,83.64250000000001
91,2012-06-22,82.68,83.22,82.11,82.11,84747800,82.53
92,2012-06-25,81.22,81.43,79.78,81.24,28761600,80.9175
93,2012-06-26,81.51,82.97,81.21,82.4,22853700,82.02250000000001
94,2012-06-27,82.81,83.66,82.71,83.2,15301400,83.095
95,2012-06-28,82.66,83.46,82.02,83.1,19140300,82.81
96,2012-06-29,84.78,85.7,84.46,85.57,24906300,85.1275
97,2012-07-02,85.44,85.47,84.54,85.34,14447800,85.19749999999999
98,2012-07-03,85.69,86.28,85.62,86.28,9787700,85.9675
99,2012-07-05,85.33,86.04,85.15,85.57,10797100,85.5225
100,2012-07-06,84.26,85.04,84.2,84.8,13259400,84.575
101,2012-07-09,84.52,84.55,83.02,83.65,22361600,83.935
102,2012-07-10,84.08,84.39,82.83,83.11,14106100,83.6025
103,2012-07-11,83.48,84.68,83.24,84.38,18337600,83.94500000000001
104,2012-07-12,83.41,84.55,83.32,84.12,15566400,83.85
105,2012-07-13,84.45,85.57,84.26,85.47,13642000,84.9375
106,2012-07-16,84.83,85.42,84.66,85.05,11269200,84.99
107,2012-07-17,85.18,85.82,84.1,85.73,14059400,85.2075
108,2012-07-18,85.34,86.22,85.07,86.21,14203500,85.71
109,2012-07-19,86.02,86.38,85.62,86.21,14902300,86.05749999999999
110,2012-07-20,85.87,86.15,85.27,85.95,16838300,85.81
111,2012-07-23,84.8,85.46,84.33,85.21,13597800,84.94999999999999
112,2012-07-24,85.21,85.26,83.5,84.58,13948300,84.6375
113,2012-07-25,85.14,85.55,84.66,85.24,16566000,85.1475
114,2012-07-26,85.56,86.7,85.26,86.52,19149300,86.00999999999999
115,2012-07-27,86.59,87.85,85.5,87.45,24079300,86.8475
116,2012-07-30,87.28,87.83,87.08,87.56,11183500,87.4375
117,2012-07-31,87.37,87.66,86.79,86.85,12212200,87.16749999999999
118,2012-08-01,87.02,87.45,86.18,86.91,14312300,86.88999999999999
119,2012-08-02,86.1,86.75,85.5,85.88,14530100,86.0575
120,2012-08-03,87.07,87.89,86.8,87.55,13982500,87.3275
121,2012-08-06,87.55,87.88,87.37,87.45,9626400,87.5625
122,2012-08-07,87.88,88.0,87.68,87.92,12399800,87.87
123,2012-08-08,87.75,88.5,87.68,88.28,12864500,88.05250000000001
124,2012-08-09,87.84,88.48,87.51,88.2,12213700,88.0075
125,2012-08-10,87.67,88.49,87.15,88.44,11149000,87.9375
126,2012-08-13,88.1,88.24,87.77,88.14,8716300,88.06249999999999
127,2012-08-14,88.17,88.64,87.9,88.2,8675700,88.2275
128,2012-08-15,88.19,88.67,87.91,88.0,8510100,88.1925
129,2012-08-16,88.19,88.87,87.96,88.67,11311300,88.4225
130,2012-08-17,88.89,88.91,88.16,88.4,11177700,88.59
131,2012-08-20,88.07,88.22,87.63,87.95,8813700,87.96749999999999
132,2012-08-21,88.14,88.41,87.26,87.46,10767100,87.8175
133,2012-08-22,87.2,87.91,87.02,87.73,10160400,87.465
134,2012-08-23,87.79,87.79,86.98,87.31,9666300,87.4675
135,2012-08-24,87.16,88.3,86.93,88.05,9762300,87.61
136,2012-08-27,88.07,88.2,87.61,87.74,8252100,87.905
137,2012-08-28,87.57,88.4,87.42,88.1,9646800,87.8725
138,2012-08-29,88.07,88.19,87.74,87.9,8377300,87.975
139,2012-08-30,87.38,87.73,87.02,87.2,8915800,87.3325
140,2012-08-31,87.61,87.85,87.14,87.3,14178800,87.475
