,datetime,open,high,low,close,volume,OHLC_avg,MA_30,MA_100,MA_200,MACD,MACD_h,MACD_s,RSI
0,2012-02-13,84.34,84.6,83.89,84.42,11473700,84.3125,,,,,,,
1,2012-02-14,84.42,84.71,83.85,84.67,12961900,84.4125,,,,,,,
2,2012-02-15,84.86,84.92,83.91,84.12,13911600,84.4525,,,,,,,
3,2012-02-16,84.45,85.62,84.08,85.41,14769600,84.88999999999999,,,,,,,
4,2012-02-17,86.07,86.12,84.92,85.62,16597200,85.6825,,,,,,,
5,2012-02-21,86.04,86.78,86.04,86.57,15481300,86.3575,,,,,,,
6,2012-02-22,86.84,87.25,86.65,86.92,11983200,86.915,,,,,,,
7,2012-02-23,86.58,87.17,86.47,87.02,12404600,86.81,,,,,,,
8,2012-02-24,87.37,87.47,87.01,87.34,10767100,87.29750000000001,,,,,,,
9,2012-02-27,87.15,87.83,86.78,87.23,13323500,87.2475,,,,,,,
10,2012-02-28,87.23,87.44,86.55,87.14,14317600,87.09,,,,,,,
11,2012-02-29,87.45,87.49,86.21,86.5,18293200,86.9125,,,,,,,
12,2012-03-01,86.47,87.18,86.41,86.83,12638500,86.7225,,,,,,,
13,2012-03-02,86.66,86.75,85.85,86.33,11343400,86.3975,,,,,,,
14,2012-03-05,86.17,87.09,85.91,87.01,12803100,86.54499999999999,,,,,,,67.926515260314
15,2012-03-06,86.24,86.48,85.42,85.86,16507900,86.0,,,,,,,55.26732742077204
16,2012-03-07,86.01,86.12,85.19,85.83,14767700,85.7875,,,,,,,51.256255062878594
17,2012-03-08,85.0,85.47,84.63,84.83,19032000,84.9825,,,,,,,39.547042860079316
18,2012-03-09,85.06,85.13,84.05,84.3,17042500,84.635,,,,,,,35.75035593633771
19,2012-03-12,84.5,85.75,84.13,85.55,19014000,84.9825,,,,,,,41.77064613648852
20,2012-03-13,85.89,86.93,85.61,86.86,16853300,86.3225,,,,,,,58.08178145480913
21,2012-03-14,86.59,86.83,85.74,86.02,16187300,86.295,,,,,,,57.72441454614453
22,2012-03-15,85.89,86.2,85.25,86.09,14523600,85.85750000000002,,,,,,,52.219653865989166
23,2012-03-16,86.2,86.89,85.92,86.44,30991300,86.3625,,,,,,,57.28341733884463
24,2012-03-19,86.08,87.18,86.03,86.99,10770400,86.57,,,,,,,59.19691748620274
25,2012-03-20,86.46,87.1,86.32,86.6,13613800,86.62,,,,0.269972528342862,,,59.66577651675025
26,2012-03-21,86.59,86.59,85.77,86.01,14212400,86.24,,,,0.2588213298741948,,,54.53672952773716
27,2012-03-22,85.48,85.94,85.1,85.33,13884400,85.46249999999999,,,,0.18511231306969478,,,45.85175030403479
28,2012-03-23,85.36,85.98,85.02,85.55,12557700,85.4775,,,,0.1264501225468564,,,46.03031890248474
29,2012-03-26,86.18,87.25,86.07,87.03,17336800,86.6325,86.00908333333334,,,0.17118544196574703,,,57.61969702573387
30,2012-03-27,87.14,87.25,86.54,86.62,12509200,86.8875,86.09491666666666,,,0.22462553049089706,,,59.678387486646855
31,2012-03-28,86.36,86.48,85.14,85.86,16155300,85.96000000000001,86.1465,,,0.18994610662325329,,,50.138250844490635
32,2012-03-29,85.32,86.13,84.91,86.08,13199700,85.61,86.18508333333334,,,0.13269076192212026,,,47.07973764827324
33,2012-03-30,86.48,86.76,86.09,86.73,12968300,86.51500000000001,86.23925,,,0.1585141726329482,-0.029899330460267937,0.18841350309321614,54.76382470267229
34,2012-04-02,86.6,87.67,86.31,87.07,13853300,86.9125,86.28025,,,0.20864916196327954,0.016188527096050703,0.19246063486722884,57.6710646053322
35,2012-04-03,86.75,86.78,85.0,85.83,17714900,86.08999999999999,86.27133333333333,,,0.17993840816836837,-0.010017781359088374,0.18995618952745674,50.446531860609824
36,2012-04-04,85.3,85.36,84.49,84.98,17112800,85.0325,86.20858333333334,,,0.07103467333567437,-0.09513721295342592,0.1661718862891003,42.989831512046585
37,2012-04-05,84.56,85.38,84.35,84.82,11954700,84.7775,86.14083333333333,,,-0.03544015792452626,-0.16128963537090124,0.12584947744637498,41.40067283441601
38,2012-04-09,83.98,84.36,83.68,83.88,11027000,83.975,86.03008333333332,,,-0.18247382734008966,-0.24665864382917171,0.06418481648908206,36.791353191218846
39,2012-04-10,83.75,83.75,81.88,82.17,19993700,82.8875,85.88475,,,-0.38234380961905856,-0.3572229008865125,-0.02512090873254607,31.64903640976209
40,2012-04-11,83.11,83.35,82.15,82.7,15856200,82.8275,85.74266666666666,,,-0.539366230953064,-0.41139625777641436,-0.12796997317664965,31.38836796029929
41,2012-04-12,82.65,83.73,82.36,83.6,15266200,83.08500000000001,85.61508333333333,,,-0.6357015612751269,-0.4061852704787818,-0.2295162907963451,33.90437223597776
42,2012-04-13,82.97,83.69,82.86,82.95,13856500,83.11749999999999,85.49491666666667,,,-0.7013409048462478,-0.3774596912399221,-0.32388121360632566,34.23217898383466
43,2012-04-16,83.24,84.39,83.13,84.01,17526100,83.6925,85.40474999999999,,,-0.698906306164389,-0.3000200740464507,-0.3988862321179383,39.91041606445528
44,2012-04-17,84.65,85.6,84.57,85.45,14208000,85.0675,85.35549999999999,,,-0.579347503138294,-0.14436901681628456,-0.4349784863220094,50.84057340211348
45,2012-04-18,85.06,86.05,85.02,85.75,12997500,85.47,85.33783333333332,,,-0.4469655634097194,-0.009589661670167948,-0.43737590173955143,53.506611120467646
46,2012-04-19,85.51,85.92,84.98,85.28,15973800,85.42250000000001,85.32566666666666,,,-0.34194306859775736,0.07634626651343529,-0.41828933511119265,53.140345410114286
47,2012-04-20,85.55,85.92,85.03,85.3,17216600,85.45,85.34125,,,-0.25356996789210484,0.1317754937752703,-0.38534546166737516,53.33948705631999
48,2012-04-23,84.53,85.93,84.39,85.69,15197200,85.135,85.35791666666667,,,-0.20657030246297836,0.14302012736351744,-0.3495904298264958,50.68253404446184
49,2012-04-24,85.64,86.39,85.64,86.31,11632500,85.995,85.39166666666667,,,-0.09878913664286415,0.20064103454690535,-0.2994301711897695,56.98268454429894
50,2012-04-25,86.65,87.18,85.72,86.85,18476800,86.6,85.40091666666666,,,0.035042707081075264,0.2675783026166758,-0.23253559553560058,60.778586755756145
51,2012-04-26,85.28,86.2,85.15,86.07,17262400,85.675,85.38024999999999,,,0.06570819481827073,0.23859503228309706,-0.17288683746482633,53.06818531655999
52,2012-04-27,86.5,86.69,85.96,86.08,11372900,86.30749999999999,85.39525,,,0.1394408909677196,0.24986218274603678,-0.11042129177831717,57.07787774296193
53,2012-04-30,85.96,86.8,85.87,86.34,11735400,86.2425,85.39125,,,0.1904344176834627,0.2406845675694239,-0.0502501498859612,56.54323719622631
54,2012-05-01,86.46,87.52,86.13,87.04,13816900,86.78750000000001,85.3985,,,0.2716922016609402,0.25755388123752115,0.01413832042341908,59.93213236538624
55,2012-05-02,86.56,86.65,85.83,86.2,11108700,86.31,85.38816666666666,,,0.2941683321087112,0.2240240093482337,0.0701443227604775,55.82453880780883
56,2012-05-03,86.36,86.39,85.31,85.65,9998600,85.92750000000001,85.37775000000002,,,0.2779126698429053,0.16621467766594222,0.11169799217696307,52.70817291218002
57,2012-05-04,85.11,85.31,84.4,84.57,15055500,84.8475,85.35725000000001,,,0.1758558100068086,0.051326254263876436,0.12452955574293217,45.05949130363915
58,2012-05-07,84.29,84.79,84.1,84.48,12018100,84.415,85.32183333333334,,,0.059391252471328926,-0.05211064261728261,0.11150189508861154,42.40562448873478
59,2012-05-08,83.75,84.26,82.92,84.02,19602400,83.7375,85.22533333333334,,,-0.0865783154265074,-0.15846416841209515,0.07188585298558775,38.57309747038752
60,2012-05-09,83.04,84.07,82.88,83.31,17424000,83.325,85.10658333333335,,,-0.2328612724356134,-0.2437977003369609,0.010936427901347523,36.41513905531956
61,2012-05-10,83.37,83.59,82.55,82.84,13234600,83.0875,85.01083333333334,,,-0.36376260601898025,-0.29975922713626224,-0.06400337888271804,35.19430864318862
62,2012-05-11,82.69,83.79,82.54,83.1,12061700,83.03,84.92483333333332,,,-0.4667620826894989,-0.32220696304542473,-0.14455511964407422,34.88934010630592
63,2012-05-14,82.27,82.46,81.96,82.12,12675900,82.2025,84.78108333333334,,,-0.6081518483693884,-0.3708773829802513,-0.23727446538913707,30.758548581326266
64,2012-05-15,82.0,82.73,81.53,81.79,15757400,82.0125,84.61775000000002,,,-0.727153495573063,-0.39190322414714074,-0.33525027142592223,29.883675966475522
65,2012-05-16,81.96,83.15,81.79,82.17,15034500,82.26750000000001,84.49033333333334,,,-0.7917598744867718,-0.3652076824486796,-0.42655219203809214,32.65235530061851
66,2012-05-17,82.15,82.61,81.68,81.91,17698200,82.0875,84.39216666666667,,,-0.8477134776301511,-0.33692902847364725,-0.5107844491565039,31.700785711412323
67,2012-05-18,82.37,82.72,81.03,81.47,21747200,81.89750000000001,84.29616666666668,,,-0.8970479133962783,-0.30901077139181954,-0.5880371420044588,30.684284681029396
68,2012-05-21,81.42,82.13,81.07,82.04,13730400,81.665,84.21916666666668,,,-0.9440244894136498,-0.2847898779273528,-0.659234611486297,29.44024768508436
69,2012-05-22,82.14,82.84,81.52,81.95,13790000,82.1125,84.19333333333334,,,-0.9343733795763853,-0.2201110144720706,-0.7142623651043147,34.91021690591539
70,2012-05-23,81.79,82.08,79.96,82.04,17582200,81.4675,84.148,,,-0.9676168305064436,-0.2026835723217031,-0.7649332581847406,31.160614594838123
71,2012-05-24,82.29,82.78,81.71,82.61,14113600,82.3475,84.12341666666666,,,-0.9124358666424683,-0.11800208676618218,-0.7944337798762862,40.543560269140706
72,2012-05-25,82.86,82.96,81.68,82.08,12756500,82.395,84.09933333333335,,,-0.8550156144226264,-0.04846546763707216,-0.8065501467855543,41.01093940196444
