,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,30.63,30.77,30.43,30.58,33319800,30.6025
1,2012-02-14,30.33,30.46,29.85,30.25,59644000,30.2225
2,2012-02-15,30.33,30.39,30.03,30.05,43311300,30.2
3,2012-02-16,30.31,31.55,30.3,31.29,94705100,30.862499999999997
4,2012-02-17,31.2,31.32,30.95,31.25,70036500,31.18
5,2012-02-21,31.18,31.61,31.15,31.44,50829900,31.345
6,2012-02-22,31.45,31.68,31.18,31.27,49253200,31.395
7,2012-02-23,31.2,31.59,31.0,31.37,35034700,31.29
8,2012-02-24,31.48,31.5,31.24,31.48,35575400,31.425
9,2012-02-27,31.24,31.5,31.1,31.35,34568400,31.2975
10,2012-02-28,31.41,31.93,31.38,31.87,45230600,31.6475
11,2012-02-29,31.89,32.0,31.61,31.74,59323600,31.81
12,2012-03-01,31.93,32.39,31.85,32.29,77344100,32.114999999999995
13,2012-03-02,32.31,32.44,32.0,32.08,47314200,32.207499999999996
14,2012-03-05,32.01,32.05,31.62,31.8,45240000,31.87
15,2012-03-06,31.54,31.98,31.49,31.56,51932900,31.6425
16,2012-03-07,31.67,31.92,31.53,31.84,34340400,31.740000000000002
17,2012-03-08,32.04,32.21,31.9,32.01,36747400,32.04
18,2012-03-09,32.1,32.16,31.92,31.99,34628400,32.0425
19,2012-03-12,31.97,32.2,31.82,32.04,34073600,32.0075
20,2012-03-13,32.24,32.69,32.15,32.67,48951700,32.4375
21,2012-03-14,32.53,32.88,32.49,32.77,41986900,32.667500000000004
22,2012-03-15,32.79,32.94,32.58,32.85,49068300,32.79
23,2012-03-16,32.91,32.95,32.5,32.6,65626400,32.74
24,2012-03-19,32.54,32.61,32.15,32.2,44789200,32.375
25,2012-03-20,32.1,32.15,31.74,31.99,41566800,31.994999999999997
26,2012-03-21,31.96,32.15,31.82,31.91,37928600,31.96
27,2012-03-22,31.81,32.09,31.79,32.0,31749500,31.9225
28,2012-03-23,32.1,32.11,31.72,32.01,35912200,31.985
29,2012-03-26,32.19,32.61,32.15,32.59,36758300,32.385
30,2012-03-27,32.65,32.7,32.4,32.52,36274900,32.5675
31,2012-03-28,32.52,32.7,32.04,32.19,41344800,32.3625
32,2012-03-29,32.06,32.19,31.81,32.12,37038500,32.045
33,2012-03-30,32.4,32.41,32.04,32.26,31749400,32.277499999999996
34,2012-04-02,32.22,32.46,31.95,32.29,35853600,32.230000000000004
35,2012-04-03,32.16,32.19,31.66,31.94,42752100,31.987499999999997
36,2012-04-04,31.66,31.69,31.05,31.21,49455900,31.402500000000003
37,2012-04-05,31.15,31.63,31.05,31.52,50368600,31.3375
38,2012-04-09,31.22,31.4,30.97,31.1,31056400,31.1725
39,2012-04-10,31.06,31.19,30.3,30.47,54131300,30.755
40,2012-04-11,30.43,30.53,30.23,30.35,43014000,30.384999999999998
41,2012-04-12,30.48,31.04,30.42,30.98,38304000,30.73
42,2012-04-13,30.89,31.16,30.72,30.81,39749200,30.895
43,2012-04-16,30.99,31.19,30.77,31.08,38124800,31.0075
44,2012-04-17,31.27,31.61,31.2,31.44,34361500,31.38
45,2012-04-18,31.28,31.31,31.04,31.14,40552900,31.1925
46,2012-04-19,31.13,31.68,30.94,31.01,54781200,31.19
47,2012-04-20,32.15,32.89,32.05,32.42,106045000,32.3775
48,2012-04-23,32.31,32.5,32.03,32.12,61398200,32.24
49,2012-04-24,32.21,32.52,31.83,31.92,40871100,32.120000000000005
50,2012-04-25,31.92,32.32,31.87,32.2,62495500,32.0775
51,2012-04-26,32.12,32.23,31.92,32.11,40308100,32.095
52,2012-04-27,32.12,32.22,31.88,31.98,41419100,32.05
53,2012-04-30,31.98,32.11,31.92,32.02,35697200,32.0075
54,2012-05-01,32.05,32.34,31.95,32.01,43832300,32.0875
55,2012-05-02,31.85,31.93,31.64,31.8,37385300,31.805
56,2012-05-03,31.88,31.9,31.61,31.76,31501300,31.7875
57,2012-05-04,31.45,31.57,30.92,30.98,57927200,31.23
58,2012-05-07,30.7,30.86,30.57,30.65,48641400,30.695
59,2012-05-08,30.48,30.78,30.17,30.5,46328300,30.4825
60,2012-05-09,30.19,30.83,30.1,30.76,50309300,30.470000000000002
61,2012-05-10,30.86,31.02,30.45,30.74,43839200,30.7675
62,2012-05-11,30.69,31.54,30.69,31.16,43459300,31.02
63,2012-05-14,30.82,31.04,30.64,30.68,40528900,30.795
64,2012-05-15,30.64,30.8,30.15,30.21,61822800,30.450000000000003
65,2012-05-16,30.31,30.32,29.74,29.9,60083700,30.067499999999995
66,2012-05-17,29.99,30.21,29.71,29.72,48484000,29.9075
67,2012-05-18,29.79,29.81,29.17,29.27,56205300,29.509999999999998
68,2012-05-21,29.1,29.79,29.06,29.75,38787900,29.425
69,2012-05-22,29.69,29.88,29.5,29.76,39504900,29.7075
70,2012-05-23,29.35,29.4,28.64,29.11,65171000,29.125
71,2012-05-24,29.16,29.3,28.76,29.07,52575000,29.072499999999998
72,2012-05-25,29.2,29.36,29.01,29.06,29507200,29.157500000000002
73,2012-05-29,29.38,29.72,29.22,29.56,37758800,29.47
74,2012-05-30,29.35,29.48,29.12,29.34,41585500,29.3225
75,2012-05-31,29.3,29.42,28.94,29.19,39134000,29.2125
76,2012-06-01,28.76,28.96,28.44,28.45,56634300,28.6525
77,2012-06-04,28.62,28.78,28.32,28.55,47926300,28.5675
78,2012-06-05,28.51,28.75,28.39,28.51,45715400,28.540000000000003
79,2012-06-06,28.88,29.37,28.81,29.35,46860500,29.1025
80,2012-06-07,29.64,29.7,29.17,29.23,37792800,29.435000000000002
81,2012-06-08,29.21,29.68,29.05,29.65,42551100,29.3975
82,2012-06-11,29.73,29.81,28.82,28.9,46361900,29.314999999999998
83,2012-06-12,29.1,29.3,28.84,29.29,35337900,29.1325
84,2012-06-13,29.22,29.44,29.05,29.13,32984600,29.209999999999997
85,2012-06-14,29.33,29.46,28.88,29.34,39458900,29.2525
86,2012-06-15,29.59,30.08,29.49,30.02,62314400,29.794999999999998
87,2012-06-18,29.99,30.03,29.71,29.84,58679900,29.8925
88,2012-06-19,30.19,31.11,30.05,30.7,75725800,30.5125
89,2012-06-20,30.93,31.05,30.64,30.93,36257100,30.887500000000003
90,2012-06-21,30.96,31.14,30.06,30.14,48456600,30.575
91,2012-06-22,30.3,30.73,30.03,30.7,45098100,30.44
92,2012-06-25,30.3,30.32,29.62,29.87,42217200,30.027500000000003
93,2012-06-26,30.0,30.27,29.94,30.02,38421300,30.057499999999997
94,2012-06-27,30.19,30.5,30.03,30.17,33781700,30.2225
95,2012-06-28,29.98,30.05,29.42,29.91,45328400,29.84
96,2012-06-29,30.45,30.69,30.14,30.59,55227200,30.4675
97,2012-07-02,30.62,30.62,30.21,30.56,30589100,30.5025
98,2012-07-03,30.23,30.76,30.17,30.76,20938100,30.48
99,2012-07-05,30.59,30.78,30.38,30.7,28801900,30.6125
100,2012-07-06,30.61,30.7,29.95,30.19,38294800,30.3625
101,2012-07-09,30.12,30.23,29.78,30.0,30680800,30.0325
102,2012-07-10,30.08,30.22,29.51,29.74,37534100,29.8875
103,2012-07-11,29.71,29.74,29.11,29.3,39184900,29.465
104,2012-07-12,29.15,29.18,28.54,28.63,63523600,28.875
105,2012-07-13,28.76,29.48,28.72,29.39,39085000,29.087500000000002
106,2012-07-16,29.48,29.53,29.04,29.44,27900600,29.372500000000002
107,2012-07-17,29.64,29.86,29.2,29.66,33771300,29.59
108,2012-07-18,29.6,30.45,29.46,30.45,41090400,29.99
109,2012-07-19,30.51,30.8,30.38,30.67,46663200,30.59
110,2012-07-20,31.0,31.05,30.05,30.12,64021700,30.555
111,2012-07-23,29.57,29.58,29.01,29.28,55151900,29.36
112,2012-07-24,29.24,29.36,28.9,29.15,47723300,29.1625
113,2012-07-25,29.24,29.33,28.78,28.83,45579500,29.044999999999998
114,2012-07-26,29.23,29.5,29.09,29.16,45301400,29.245
115,2012-07-27,29.48,29.85,29.18,29.76,44242600,29.5675
116,2012-07-30,29.75,29.82,29.46,29.64,28905000,29.6675
117,2012-07-31,29.48,29.71,29.33,29.47,37620900,29.4975
118,2012-08-01,29.59,29.65,29.21,29.41,31721800,29.464999999999996
119,2012-08-02,29.21,29.53,28.97,29.19,39520500,29.225
120,2012-08-03,29.53,29.94,29.48,29.75,35859400,29.675
121,2012-08-06,30.0,30.11,29.81,29.95,27471800,29.9675
122,2012-08-07,30.07,30.35,29.87,30.26,28002900,30.137500000000003
123,2012-08-08,30.21,30.47,30.11,30.33,26257600,30.279999999999998
124,2012-08-09,30.39,30.65,30.3,30.5,24920800,30.46
125,2012-08-10,30.5,30.62,30.25,30.42,27810300,30.4475
126,2012-08-13,30.35,30.46,30.16,30.39,23049100,30.34
127,2012-08-14,30.3,30.39,30.01,30.13,34551400,30.2075
128,2012-08-15,30.11,30.28,30.02,30.2,24351000,30.1525
129,2012-08-16,30.36,30.94,30.26,30.78,35787200,30.585
130,2012-08-17,30.92,30.92,30.59,30.9,32589900,30.832500000000003
131,2012-08-20,30.82,30.85,30.58,30.74,23737700,30.7475
132,2012-08-21,30.76,30.96,30.61,30.8,28822700,30.7825
133,2012-08-22,30.59,30.76,30.47,30.54,33437400,30.589999999999996
134,2012-08-23,30.39,30.4,30.08,30.26,28355600,30.282500000000002
135,2012-08-24,30.25,30.63,30.18,30.56,22943300,30.405
136,2012-08-27,30.93,30.96,30.59,30.69,34691100,30.7925
137,2012-08-28,30.7,30.8,30.52,30.63,23947900,30.662499999999998
138,2012-08-29,30.65,30.75,30.44,30.65,23346800,30.622500000000002
139,2012-08-30,30.53,30.61,30.22,30.32,23982100,30.42
140,2012-08-31,30.6,30.96,30.38,30.82,36590100,30.689999999999998
141,2012-09-04,30.45,30.66,30.15,30.39,48556700,30.412499999999998
142,2012-09-05,30.22,30.53,30.21,30.39,33650000,30.337500000000002
143,2012-09-06,30.5,31.36,30.46,31.35,48371700,30.917499999999997
144,2012-09-07,31.04,31.07,30.73,30.95,42649100,30.9475
145,2012-09-10,30.83,30.9,30.51,30.72,40524000,30.74
146,2012-09-11,30.69,30.91,30.61,30.79,25191800,30.75
147,2012-09-12,30.94,31.18,30.73,30.78,32775800,30.907500000000002
148,2012-09-13,30.89,31.18,30.4,30.94,45047300,30.8525
149,2012-09-14,31.01,31.25,30.81,31.21,51422800,31.07
150,2012-09-17,31.19,31.26,31.04,31.21,36488500,31.175000000000004
151,2012-09-18,31.1,31.21,31.03,31.18,34542700,31.130000000000003
152,2012-09-19,31.09,31.19,31.04,31.05,48871900,31.092499999999998
153,2012-09-20,30.95,31.48,30.91,31.45,45543000,31.1975
154,2012-09-21,31.43,31.61,31.09,31.19,102348900,31.33
155,2012-09-24,31.0,31.07,30.64,30.78,46825900,30.872500000000002
156,2012-09-25,30.95,31.0,30.36,30.39,54266400,30.675
157,2012-09-26,30.28,30.6,30.04,30.17,54672000,30.2725
158,2012-09-27,30.17,30.4,29.89,30.16,47129900,30.155
159,2012-09-28,30.18,30.26,29.74,29.76,54229300,29.985
160,2012-10-01,29.81,29.98,29.42,29.49,54042700,29.675
161,2012-10-02,29.68,29.89,29.5,29.66,43338900,29.682499999999997
162,2012-10-03,29.75,29.99,29.67,29.86,46655900,29.8175
163,2012-10-04,29.97,30.03,29.57,30.03,43634900,29.9
164,2012-10-05,30.23,30.25,29.74,29.85,41133900,30.0175
165,2012-10-08,29.64,29.92,29.55,29.78,29752000,29.7225
166,2012-10-09,29.68,29.74,29.18,29.28,45121100,29.47
167,2012-10-10,29.15,29.31,28.95,28.98,47227100,29.0975
168,2012-10-11,29.22,29.25,28.87,28.95,41488500,29.0725
169,2012-10-12,28.97,29.32,28.8,29.2,46464700,29.0725
170,2012-10-15,29.37,29.72,29.25,29.51,42440200,29.462500000000002
171,2012-10-16,29.45,29.74,29.32,29.49,47739400,29.499999999999996
172,2012-10-17,29.3,29.64,29.09,29.59,44206100,29.405
173,2012-10-18,29.65,29.73,29.26,29.5,59238500,29.535
174,2012-10-19,29.05,29.08,28.5,28.64,90470800,28.8175
175,2012-10-22,28.73,28.83,27.83,28.0,83374000,28.3475
176,2012-10-23,27.77,28.2,27.76,28.05,64414800,27.945
177,2012-10-24,28.16,28.2,27.87,27.9,53320400,28.0325
178,2012-10-25,28.19,28.2,27.86,27.88,54084300,28.0325
179,2012-10-26,27.86,28.34,27.84,28.21,57790000,28.0625
180,2012-10-31,28.55,28.88,28.5,28.54,69464100,28.6175
181,2012-11-01,28.84,29.56,28.82,29.52,72047900,29.185
182,2012-11-02,29.59,29.77,29.33,29.5,57131600,29.5475
183,2012-11-05,29.62,29.74,29.33,29.63,38070800,29.58
184,2012-11-06,29.82,30.2,29.61,29.86,43401500,29.8725
185,2012-11-07,29.53,29.83,29.05,29.08,57871800,29.3725
186,2012-11-08,29.12,29.37,28.8,28.81,49841800,29.025000000000002
187,2012-11-09,28.88,29.19,28.81,28.83,43291200,28.9275
188,2012-11-12,28.94,29.01,28.21,28.22,61112300,28.595
189,2012-11-13,27.02,27.3,26.75,27.09,131689200,27.04
190,2012-11-14,27.24,27.29,26.8,26.84,76086100,27.0425
191,2012-11-15,26.88,26.97,26.63,26.66,50955600,26.784999999999997
192,2012-11-16,26.67,26.7,26.34,26.52,64083300,26.5575
193,2012-11-19,26.8,26.8,26.47,26.73,57179300,26.7
194,2012-11-20,26.76,26.8,26.46,26.71,47070400,26.682500000000005
195,2012-11-21,26.71,27.17,26.67,26.95,66360300,26.875000000000004
196,2012-11-23,27.23,27.77,27.2,27.7,57845700,27.475
197,2012-11-26,27.54,27.58,27.17,27.39,85198700,27.419999999999998
198,2012-11-27,27.36,27.38,27.04,27.08,45018600,27.215
199,2012-11-28,27.01,27.39,26.77,27.36,53018400,27.1325
200,2012-11-29,27.11,27.36,26.86,26.95,69551400,27.07
201,2012-11-30,27.05,27.13,26.49,26.62,83690200,26.8225
202,2012-12-03,26.78,26.82,26.4,26.43,53173800,26.6075
203,2012-12-04,26.5,26.63,26.34,26.37,49777500,26.46
204,2012-12-05,26.38,26.93,26.26,26.67,68283800,26.560000000000002
205,2012-12-06,26.81,26.98,26.61,26.73,39182300,26.782500000000002
206,2012-12-07,26.82,26.82,26.37,26.46,46162100,26.6175
207,2012-12-10,26.56,26.97,26.52,26.94,47031100,26.7475
208,2012-12-11,27.05,27.49,27.05,27.32,52282800,27.2275
209,2012-12-12,27.53,27.62,27.08,27.24,43966300,27.3675
210,2012-12-13,27.32,27.52,26.95,27.11,45080100,27.225
211,2012-12-14,27.11,27.13,26.7,26.81,42077500,26.9375
212,2012-12-17,26.79,27.22,26.68,27.1,42046100,26.947499999999998
213,2012-12-18,27.25,27.63,27.14,27.56,50486900,27.395
214,2012-12-19,27.69,27.73,27.25,27.31,53519900,27.495
215,2012-12-20,27.36,27.68,27.15,27.68,52607300,27.4675
216,2012-12-21,27.45,27.49,27.0,27.45,98776500,27.3475
217,2012-12-24,27.2,27.25,27.0,27.06,20842400,27.1275
218,2012-12-26,27.03,27.2,26.7,26.86,31631100,26.9475
219,2012-12-27,26.89,27.09,26.57,26.96,39394000,26.877500000000005
220,2012-12-28,26.71,26.9,26.55,26.55,28239900,26.6775
221,2012-12-31,26.59,26.77,26.37,26.71,42749500,26.61
222,2013-01-02,27.25,27.73,27.15,27.62,52899300,27.4375
223,2013-01-03,27.63,27.65,27.16,27.25,48294400,27.4225
224,2013-01-04,27.27,27.34,26.73,26.74,52521100,27.02
225,2013-01-07,26.77,26.88,26.64,26.69,37110400,26.744999999999997
226,2013-01-08,26.75,26.79,26.46,26.55,44703100,26.6375
227,2013-01-09,26.72,26.75,26.56,26.7,49047900,26.6825
228,2013-01-10,26.65,26.98,26.29,26.46,71431300,26.595
229,2013-01-11,26.49,26.93,26.28,26.83,55512100,26.6325
230,2013-01-14,26.9,27.08,26.76,26.89,48324400,26.9075
231,2013-01-15,26.83,27.29,26.83,27.21,48244500,27.04
232,2013-01-16,27.15,27.23,27.01,27.04,41077400,27.1075
233,2013-01-17,27.19,27.47,27.06,27.25,51685900,27.2425
234,2013-01-18,27.1,27.29,27.04,27.25,52167700,27.17
235,2013-01-22,27.3,27.45,27.0,27.15,58650600,27.225
236,2013-01-23,27.2,27.64,27.2,27.61,50387700,27.4125
237,2013-01-24,27.7,28.07,27.47,27.63,101739300,27.717499999999998
238,2013-01-25,27.58,28.23,27.39,27.88,81847700,27.77
239,2013-01-28,28.01,28.23,27.76,27.91,56056500,27.9775
240,2013-01-29,27.82,28.13,27.6,28.01,49242600,27.890000000000004
241,2013-01-30,28.01,28.19,27.76,27.85,43580500,27.9525
242,2013-01-31,27.79,27.97,27.4,27.45,50530000,27.6525
243,2013-02-01,27.67,28.05,27.55,27.93,55565900,27.799999999999997
244,2013-02-04,27.87,28.02,27.42,27.44,50540000,27.6875
245,2013-02-05,27.62,27.66,27.36,27.5,35410400,27.535
246,2013-02-06,27.38,27.54,27.25,27.34,41889600,27.3775
247,2013-02-07,27.35,27.39,27.1,27.28,38028300,27.28
248,2013-02-08,27.35,27.71,27.31,27.55,33318500,27.48
249,2013-02-11,27.65,27.92,27.5,27.86,32247700,27.732499999999998
250,2013-02-12,27.88,28.0,27.75,27.88,35990900,27.877499999999998
251,2013-02-13,27.93,28.11,27.88,28.03,41715600,27.9875
252,2013-02-14,27.92,28.06,27.87,28.04,32663200,27.972500000000004
253,2013-02-15,28.04,28.16,27.88,28.01,49650900,28.0225
254,2013-02-19,27.88,28.09,27.8,28.05,38781400,27.955
255,2013-02-20,28.13,28.2,27.83,27.87,44110200,28.0075
256,2013-02-21,27.74,27.74,27.23,27.49,49078500,27.549999999999997
257,2013-02-22,27.68,27.76,27.48,27.76,31425900,27.67
258,2013-02-25,27.97,28.05,27.37,27.37,48011800,27.69
259,2013-02-26,27.38,27.6,27.34,27.37,49923300,27.422500000000003
260,2013-02-27,27.42,28.0,27.33,27.81,36394700,27.64
261,2013-02-28,27.88,27.97,27.74,27.8,35840200,27.847499999999997
262,2013-03-01,27.72,27.98,27.52,27.95,34849700,27.7925
263,2013-03-04,27.85,28.15,27.7,28.15,38157500,27.9625
264,2013-03-05,28.29,28.54,28.16,28.35,41432200,28.335
265,2013-03-06,28.21,28.23,27.78,28.09,51448500,28.0775
266,2013-03-07,28.11,28.28,28.01,28.14,29196700,28.135
267,2013-03-08,28.25,28.33,27.96,28.0,37667800,28.134999999999998
268,2013-03-11,27.94,27.97,27.67,27.87,36627500,27.8625
269,2013-03-12,27.84,27.95,27.64,27.91,39255200,27.835
270,2013-03-13,27.87,28.02,27.75,27.92,29093400,27.89
271,2013-03-14,28.0,28.16,27.93,28.14,55914800,28.0575
272,2013-03-15,28.03,28.16,27.98,28.04,92710300,28.052500000000002
273,2013-03-18,27.88,28.28,27.81,28.1,44809400,28.0175
274,2013-03-19,28.12,28.22,28.03,28.18,51901600,28.137500000000003
275,2013-03-20,28.34,28.49,28.18,28.32,35447800,28.332499999999996
276,2013-03-21,28.11,28.36,28.05,28.11,34233200,28.1575
277,2013-03-22,28.19,28.34,28.1,28.25,28720900,28.22
278,2013-03-25,28.3,28.35,27.96,28.16,44154000,28.192500000000003
279,2013-03-26,28.24,28.34,28.11,28.16,27824300,28.2125
280,2013-03-27,28.14,28.45,28.08,28.37,36047400,28.26
281,2013-03-28,28.32,28.66,28.26,28.61,55453800,28.462500000000002
282,2013-04-01,28.64,28.66,28.36,28.61,29201100,28.5675
283,2013-04-02,28.59,28.85,28.52,28.8,28456500,28.689999999999998
284,2013-04-03,28.75,28.95,28.54,28.56,35062800,28.700000000000003
285,2013-04-04,28.39,28.61,28.27,28.6,45263200,28.4675
286,2013-04-05,28.22,28.78,28.11,28.7,50927300,28.4525
287,2013-04-08,28.73,28.73,28.47,28.59,34759500,28.630000000000003
288,2013-04-09,28.73,29.82,28.68,29.61,77733800,29.209999999999997
289,2013-04-10,29.57,30.32,29.52,30.28,71116700,29.9225
290,2013-04-11,29.1,29.2,28.73,28.94,130923200,28.9925
291,2013-04-12,28.85,29.02,28.66,28.79,62886300,28.83
292,2013-04-15,28.65,28.98,28.51,28.69,56332900,28.7075
293,2013-04-16,28.9,29.14,28.7,28.97,52797300,28.9275
294,2013-04-17,28.85,29.04,28.6,28.83,52840700,28.830000000000002
295,2013-04-18,28.95,28.98,28.5,28.79,56906600,28.805
296,2013-04-19,29.62,30.24,29.61,29.77,99790700,29.81
297,2013-04-22,30.3,31.18,30.27,30.83,137904000,30.645
298,2013-04-23,30.7,30.9,30.38,30.6,59126900,30.644999999999996
299,2013-04-24,30.62,31.92,30.6,31.76,90946600,31.225000000000005
300,2013-04-25,31.71,32.84,31.54,31.94,110700200,32.0075
301,2013-04-26,31.9,31.98,31.45,31.79,47799300,31.78
302,2013-04-29,31.8,32.68,31.77,32.61,59116400,32.215
303,2013-04-30,32.56,33.11,32.28,33.1,75165200,32.7625
304,2013-05-01,32.93,33.08,32.6,32.72,54330900,32.832499999999996
305,2013-05-02,32.63,33.17,32.39,33.16,46059500,32.837500000000006
306,2013-05-03,33.23,33.52,33.08,33.49,46784600,33.33
307,2013-05-06,33.42,33.91,33.25,33.75,40978300,33.582499999999996
308,2013-05-07,33.65,33.79,33.24,33.31,43078300,33.4975
309,2013-05-08,33.07,33.24,32.65,32.99,51595700,32.987500000000004
310,2013-05-09,32.85,33.0,32.59,32.66,46417800,32.775
311,2013-05-10,32.67,32.72,32.32,32.69,36394900,32.6
312,2013-05-13,32.61,33.07,32.55,33.03,36027600,32.815
313,2013-05-14,32.86,33.53,32.8,33.53,56870100,33.18
314,2013-05-15,33.45,33.9,33.43,33.85,46303900,33.6575
315,2013-05-16,33.64,34.15,33.55,34.08,59382900,33.855
316,2013-05-17,34.13,34.87,34.1,34.87,60666700,34.4925
317,2013-05-20,34.73,35.1,34.68,35.08,54020800,34.897499999999994
318,2013-05-21,35.1,35.27,34.72,34.85,48702400,34.985
319,2013-05-22,34.79,34.84,34.36,34.61,66047500,34.65
320,2013-05-23,34.23,34.55,33.9,34.15,51102700,34.2075
321,2013-05-24,33.92,34.28,33.9,34.27,33174400,34.0925
322,2013-05-28,34.42,35.18,34.41,35.02,48212100,34.7575
323,2013-05-29,34.74,35.02,34.57,34.88,38412200,34.8025
324,2013-05-30,34.85,35.25,34.81,35.03,51131000,34.985
325,2013-05-31,34.82,35.28,34.79,34.9,56165700,34.9475
326,2013-06-03,34.92,35.63,34.83,35.59,51252600,35.24250000000001
327,2013-06-04,35.62,35.74,34.77,34.99,65529500,35.28
328,2013-06-05,34.6,34.89,34.43,34.78,46025100,34.675000000000004
329,2013-06-06,34.84,35.11,34.49,34.96,37618500,34.85
330,2013-06-07,35.25,35.78,35.06,35.67,40757300,35.44
331,2013-06-10,35.51,35.65,35.14,35.47,35994500,35.442499999999995
332,2013-06-11,35.05,35.18,34.68,34.84,39435900,34.9375
333,2013-06-12,35.14,35.27,34.85,35.0,37372700,35.065
334,2013-06-13,34.99,35.02,34.59,34.72,45654900,34.83
335,2013-06-14,34.55,34.69,34.25,34.4,53192600,34.4725
336,2013-06-17,34.69,35.16,34.63,35.0,49670100,34.87
