,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,4.075,4.09,3.955,4.0375,61066800,4.039375
1,2012-02-14,4.0375,4.095,4.0025,4.06,45375600,4.04875
2,2012-02-15,4.0975,4.225,4.0325,4.0425,111085600,4.099375
3,2012-02-16,3.765,4.145,3.75,4.1125,188858800,3.943125
4,2012-02-17,4.115,4.1425,3.925,3.9625,102036000,4.03625
5,2012-02-21,3.96,4.08,3.9525,3.9825,51817600,3.99375
6,2012-02-22,3.9625,4.06,3.95,3.955,49243200,3.981875
7,2012-02-23,3.9625,4.0,3.9,3.9775,32396800,3.96
8,2012-02-24,3.99,3.995,3.93,3.9475,36666800,3.965625
9,2012-02-27,3.8975,3.915,3.8125,3.8675,74526800,3.873125
10,2012-02-28,3.8675,3.9125,3.7925,3.8325,69988400,3.85125
11,2012-02-29,3.845,3.91,3.785,3.7875,68919600,3.831875
12,2012-03-01,3.8025,3.8575,3.7875,3.8125,44994400,3.815
13,2012-03-02,3.8,3.9,3.8,3.845,68407600,3.83625
14,2012-03-05,3.8175,3.825,3.6875,3.715,51484800,3.76125
15,2012-03-06,3.6725,3.7025,3.615,3.68,47140000,3.6675
16,2012-03-07,3.7,3.7175,3.65,3.7025,44198400,3.6925000000000003
17,2012-03-08,3.7125,3.7525,3.6925,3.715,43085200,3.7181249999999997
18,2012-03-09,3.725,3.7525,3.685,3.705,36783600,3.716875
19,2012-03-12,3.72,3.745,3.6375,3.6475,29994800,3.6875
20,2012-03-13,3.6625,3.7175,3.645,3.6975,55328800,3.680625
21,2012-03-14,3.6975,3.705,3.58,3.5925,73570800,3.64375
22,2012-03-15,3.6025,3.665,3.59,3.645,38238000,3.625625
23,2012-03-16,3.6475,3.665,3.6275,3.65,42834000,3.6475
24,2012-03-19,3.67,3.6875,3.6425,3.66,40540000,3.665
25,2012-03-20,3.64,3.64,3.5675,3.6,44961600,3.611875
26,2012-03-21,3.6,3.6475,3.56,3.615,46784000,3.6056250000000003
27,2012-03-22,3.5875,3.64,3.5775,3.61,42537200,3.60375
28,2012-03-23,3.6,3.6475,3.575,3.6375,31545600,3.615
29,2012-03-26,3.6725,3.6975,3.6375,3.68,28860000,3.671875
30,2012-03-27,3.695,3.75,3.6875,3.705,41996800,3.709375
