,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,20.01,20.06,19.9,20.03,50426600,20.0
1,2012-02-14,19.9,20.07,19.83,20.07,31854000,19.9675
2,2012-02-15,20.09,20.21,19.85,19.91,44880700,20.015
3,2012-02-16,19.98,20.27,19.91,20.19,42558500,20.0875
4,2012-02-17,20.2,20.35,20.0,20.29,54249700,20.21
5,2012-02-21,20.3,20.49,20.17,20.36,41222900,20.33
6,2012-02-22,20.41,20.46,20.05,20.12,36219200,20.26
7,2012-02-23,20.08,20.25,19.92,20.23,30008000,20.12
8,2012-02-24,20.27,20.33,20.11,20.14,27220500,20.2125
9,2012-02-27,19.99,20.26,19.97,20.17,37170200,20.0975
10,2012-02-28,20.16,20.22,20.02,20.2,34349100,20.15
11,2012-02-29,20.18,20.2,19.84,19.88,46229800,20.025
12,2012-03-01,19.91,19.96,19.74,19.88,43149300,19.8725
13,2012-03-02,19.84,19.89,19.71,19.76,27449600,19.8
14,2012-03-05,19.73,19.75,19.46,19.6,31971300,19.635
15,2012-03-06,19.43,19.53,19.32,19.48,36742300,19.44
16,2012-03-07,19.5,19.53,19.4,19.41,34751400,19.46
17,2012-03-08,19.57,19.78,19.53,19.68,36655500,19.64
18,2012-03-09,19.73,19.89,19.68,19.8,26274400,19.775000000000002
19,2012-03-12,19.82,19.88,19.66,19.83,26316200,19.7975
20,2012-03-13,19.9,20.22,19.89,20.22,33326000,20.057499999999997
21,2012-03-14,20.16,20.38,20.06,20.2,41190400,20.2
22,2012-03-15,20.06,20.2,19.8,19.91,55020200,19.9925
23,2012-03-16,20.01,20.05,19.9,20.03,56363000,19.997500000000002
24,2012-03-19,19.94,20.28,19.94,20.14,30276500,20.075
25,2012-03-20,20.04,20.64,20.01,20.57,61659600,20.314999999999998
26,2012-03-21,20.56,20.65,20.35,20.5,39135200,20.515
27,2012-03-22,20.35,20.57,20.27,20.38,32211700,20.3925
28,2012-03-23,20.34,20.59,20.25,20.53,27646700,20.427500000000002
29,2012-03-26,20.7,20.86,20.65,20.84,29098800,20.7625
30,2012-03-27,20.93,21.05,20.88,20.91,44476400,20.9425
31,2012-03-28,20.85,21.11,20.73,21.08,39839300,20.9425
32,2012-03-29,20.96,21.24,20.85,21.03,36518000,21.020000000000003
33,2012-03-30,21.12,21.19,20.98,21.15,35673900,21.11
34,2012-04-02,21.14,21.3,21.05,21.19,30716500,21.169999999999998
35,2012-04-03,21.11,21.19,20.63,20.82,64106700,20.9375
36,2012-04-04,20.64,20.77,20.25,20.36,43848100,20.505
37,2012-04-05,20.18,20.37,20.07,20.22,30611900,20.21
38,2012-04-09,19.97,20.16,19.87,19.96,26416300,19.990000000000002
39,2012-04-10,19.94,20.1,19.52,19.55,44896400,19.7775
40,2012-04-11,19.68,20.04,19.62,20.02,40610100,19.84
41,2012-04-12,20.09,20.28,19.98,20.06,32041300,20.102500000000003
42,2012-04-13,20.02,20.04,19.79,19.85,27901500,19.925
43,2012-04-16,19.92,19.96,19.57,19.73,35250100,19.795
44,2012-04-17,19.81,20.15,19.75,20.08,28770700,19.947499999999998
45,2012-04-18,19.95,20.15,19.88,20.06,27563400,20.009999999999998
46,2012-04-19,20.02,20.31,19.78,19.91,34583500,20.005
47,2012-04-20,19.93,20.04,19.84,19.91,34257200,19.93
48,2012-04-23,19.77,19.78,19.58,19.68,27406400,19.7025
49,2012-04-24,19.76,19.85,19.35,19.42,67526600,19.595
50,2012-04-25,19.59,19.69,19.27,19.49,48461800,19.509999999999998
51,2012-04-26,19.48,19.67,19.37,19.6,43037600,19.53
52,2012-04-27,19.64,20.03,19.58,19.98,47505900,19.8075
53,2012-04-30,19.85,20.17,19.82,20.16,36405500,20.0
54,2012-05-01,20.11,20.16,19.98,19.98,31761800,20.0575
55,2012-05-02,19.91,19.94,19.63,19.84,32168300,19.830000000000002
56,2012-05-03,19.92,19.95,19.65,19.72,29626200,19.810000000000002
57,2012-05-04,19.52,19.53,19.03,19.12,41733900,19.3
58,2012-05-07,19.02,19.26,19.0,19.08,34078500,19.09
59,2012-05-08,18.9,18.9,18.62,18.71,52278000,18.7825
60,2012-05-09,18.58,18.89,18.48,18.78,78275200,18.6825
61,2012-05-10,17.17,17.32,16.76,16.81,198450600,17.015
62,2012-05-11,16.76,16.99,16.5,16.51,75215300,16.69
63,2012-05-14,16.4,16.83,16.37,16.71,57497300,16.5775
64,2012-05-15,16.74,16.76,16.51,16.54,66148000,16.637500000000003
65,2012-05-16,16.83,16.89,16.61,16.69,57794300,16.755
66,2012-05-17,16.69,16.8,16.55,16.55,41625200,16.6475
67,2012-05-18,16.61,16.64,16.37,16.47,57520600,16.5225
68,2012-05-21,16.51,16.7,16.37,16.67,37628500,16.5625
69,2012-05-22,16.66,16.82,16.62,16.73,42979200,16.707500000000003
70,2012-05-23,16.56,16.76,16.43,16.69,42459500,16.61
71,2012-05-24,16.69,16.7,16.35,16.39,52604300,16.5325
72,2012-05-25,16.46,16.56,16.32,16.33,41838300,16.417499999999997
73,2012-05-29,16.51,16.64,16.39,16.59,37091400,16.532500000000002
74,2012-05-30,16.46,16.48,16.35,16.39,36488300,16.42
75,2012-05-31,16.36,16.52,16.26,16.33,51969400,16.3675
76,2012-06-01,16.08,16.15,15.94,15.96,48493800,16.0325
77,2012-06-04,15.98,16.13,15.92,16.11,29743500,16.035
78,2012-06-05,16.06,16.28,15.98,16.12,34648800,16.110000000000003
79,2012-06-06,16.29,16.69,16.23,16.69,33224400,16.475
80,2012-06-07,16.88,16.92,16.53,16.58,34270300,16.7275
81,2012-06-08,16.56,16.78,16.49,16.73,29773800,16.64
82,2012-06-11,16.87,16.89,16.45,16.48,31130800,16.672500000000003
83,2012-06-12,16.57,16.84,16.51,16.79,32713000,16.677500000000002
84,2012-06-13,16.74,16.85,16.56,16.66,39106800,16.7025
85,2012-06-14,16.68,17.04,16.6,16.92,39580100,16.810000000000002
86,2012-06-15,16.97,17.17,16.93,17.1,42601400,17.0425
87,2012-06-18,17.08,17.25,17.03,17.14,35400800,17.125
88,2012-06-19,17.28,17.36,17.11,17.18,41827300,17.2325
89,2012-06-20,17.37,17.63,17.3,17.51,46238300,17.4525
90,2012-06-21,17.51,17.55,16.87,16.93,44123400,17.215000000000003
91,2012-06-22,16.98,17.19,16.95,17.13,46489700,17.0625
92,2012-06-25,17.01,17.03,16.78,16.94,33219000,16.94
93,2012-06-26,16.97,16.99,16.65,16.82,31870100,16.857499999999998
94,2012-06-27,16.87,16.96,16.64,16.73,43502200,16.8
95,2012-06-28,16.63,16.63,16.22,16.48,56585800,16.49
96,2012-06-29,16.79,17.17,16.73,17.17,51020200,16.965
97,2012-07-02,17.11,17.16,16.96,17.08,20020400,17.0775
98,2012-07-03,17.02,17.23,17.01,17.15,15823200,17.1025
99,2012-07-05,16.99,17.03,16.88,16.94,26299500,16.959999999999997
100,2012-07-06,16.88,16.94,16.67,16.77,27190800,16.815
101,2012-07-09,16.73,16.77,16.59,16.65,25580700,16.685000000000002
102,2012-07-10,16.76,16.78,16.33,16.41,35583200,16.57
103,2012-07-11,16.4,16.59,16.26,16.38,45504300,16.4075
104,2012-07-12,16.16,16.24,15.96,15.98,70081400,16.085
105,2012-07-13,15.99,16.37,15.98,16.31,24553400,16.1625
106,2012-07-16,16.21,16.25,16.02,16.19,26437700,16.1675
107,2012-07-17,16.37,16.37,15.94,16.23,30992900,16.2275
108,2012-07-18,16.25,16.76,16.2,16.7,33888400,16.477500000000003
109,2012-07-19,16.73,16.8,16.59,16.68,30426300,16.700000000000003
110,2012-07-20,16.58,16.74,16.35,16.36,36050000,16.5075
111,2012-07-23,16.06,16.15,15.93,16.07,40090000,16.0525
112,2012-07-24,15.75,15.75,15.0,15.12,101816000,15.405
113,2012-07-25,15.2,15.56,14.96,15.42,61477900,15.285
114,2012-07-26,15.7,15.78,15.35,15.38,55945200,15.5525
115,2012-07-27,15.51,15.76,15.3,15.69,40305400,15.565
116,2012-07-30,15.71,16.07,15.67,15.87,36366500,15.83
117,2012-07-31,15.87,16.11,15.85,15.95,33961900,15.945
118,2012-08-01,16.01,16.07,15.76,15.98,47398000,15.954999999999998
119,2012-08-02,15.8,16.11,15.65,15.74,47426700,15.825000000000001
120,2012-08-03,16.08,16.44,15.97,16.35,40928300,16.21
121,2012-08-06,16.49,16.83,16.46,16.69,32129000,16.6175
122,2012-08-07,16.84,17.21,16.81,17.14,41694700,17.0
123,2012-08-08,17.04,17.16,16.86,17.16,24821800,17.055
124,2012-08-09,17.61,17.79,17.48,17.7,61054300,17.645
125,2012-08-10,17.49,17.56,17.3,17.54,38278100,17.472499999999997
126,2012-08-13,17.54,17.59,17.23,17.34,33823200,17.425
127,2012-08-14,17.4,17.4,17.11,17.17,40256600,17.27
128,2012-08-15,17.15,17.53,17.12,17.35,63235200,17.2875
129,2012-08-16,18.63,19.14,18.57,19.02,152184100,18.84
130,2012-08-17,19.03,19.23,18.96,19.06,55706700,19.07
131,2012-08-20,19.0,19.15,18.8,18.94,39384600,18.9725
132,2012-08-21,19.0,19.27,18.98,19.16,45522300,19.1025
133,2012-08-22,19.07,19.22,18.96,19.22,47546000,19.1175
134,2012-08-23,19.15,19.39,19.04,19.13,37601200,19.1775
135,2012-08-24,19.04,19.24,18.93,19.2,32440300,19.1025
136,2012-08-27,19.24,19.37,19.14,19.36,32091900,19.2775
137,2012-08-28,19.31,19.35,19.16,19.22,30468900,19.259999999999998
