,datetime,open,high,low,close,volume,OHLC_avg,MA_30,MA_100,MA_200,MACD,MACD_h,MACD_s,RSI
0,2012-02-13,20.01,20.06,19.9,20.03,50426600,20.0,,,,,,,
1,2012-02-14,19.9,20.07,19.83,20.07,31854000,19.9675,,,,,,,
2,2012-02-15,20.09,20.21,19.85,19.91,44880700,20.015,,,,,,,
3,2012-02-16,19.98,20.27,19.91,20.19,42558500,20.0875,,,,,,,
4,2012-02-17,20.2,20.35,20.0,20.29,54249700,20.21,,,,,,,
5,2012-02-21,20.3,20.49,20.17,20.36,41222900,20.33,,,,,,,
6,2012-02-22,20.41,20.46,20.05,20.12,36219200,20.26,,,,,,,
7,2012-02-23,20.08,20.25,19.92,20.23,30008000,20.12,,,,,,,
8,2012-02-24,20.27,20.33,20.11,20.14,27220500,20.2125,,,,,,,
9,2012-02-27,19.99,20.26,19.97,20.17,37170200,20.0975,,,,,,,
10,2012-02-28,20.16,20.22,20.02,20.2,34349100,20.15,,,,,,,
11,2012-02-29,20.18,20.2,19.84,19.88,46229800,20.025,,,,,,,
12,2012-03-01,19.91,19.96,19.74,19.88,43149300,19.8725,,,,,,,
13,2012-03-02,19.84,19.89,19.71,19.76,27449600,19.8,,,,,,,
14,2012-03-05,19.73,19.75,19.46,19.6,31971300,19.635,,,,,,,28.48263195064132
15,2012-03-06,19.43,19.53,19.32,19.48,36742300,19.44,,,,,,,23.315721271698393
16,2012-03-07,19.5,19.53,19.4,19.41,34751400,19.46,,,,,,,24.822055520694406
17,2012-03-08,19.57,19.78,19.53,19.68,36655500,19.64,,,,,,,36.84590945436102
18,2012-03-09,19.73,19.89,19.68,19.8,26274400,19.775000000000002,,,,,,,44.07089615752955
19,2012-03-12,19.82,19.88,19.66,19.83,26316200,19.7975,,,,,,,45.19622506157732
20,2012-03-13,19.9,20.22,19.89,20.22,33326000,20.057499999999997,,,,,,,56.17065776127793
21,2012-03-14,20.16,20.38,20.06,20.2,41190400,20.2,,,,,,,60.80347693852687
22,2012-03-15,20.06,20.2,19.8,19.91,55020200,19.9925,,,,,,,52.15799504826603
23,2012-03-16,20.01,20.05,19.9,20.03,56363000,19.997500000000002,,,,,,,52.33387132324568
24,2012-03-19,19.94,20.28,19.94,20.14,30276500,20.075,,,,,,,55.089747888109436
25,2012-03-20,20.04,20.64,20.01,20.57,61659600,20.314999999999998,,,,0.02654636749320005,,,62.349402736518286
26,2012-03-21,20.56,20.65,20.35,20.5,39135200,20.515,,,,0.06558512790231674,,,67.11935704248658
27,2012-03-22,20.35,20.57,20.27,20.38,32211700,20.3925,,,,0.08565156266271146,,,61.942987505716545
28,2012-03-23,20.34,20.59,20.25,20.53,27646700,20.427500000000002,,,,0.10318906496600988,,,62.82513960186641
29,2012-03-26,20.7,20.86,20.65,20.84,29098800,20.7625,20.054333333333332,,,0.14247697628664469,,,69.99437580608347
30,2012-03-27,20.93,21.05,20.88,20.91,44476400,20.9425,20.08575,,,0.18599340850324708,,,73.00663882508312
31,2012-03-28,20.85,21.11,20.73,21.08,39839300,20.9425,20.11825,,,0.21796789632533375,,,73.00663882508312
32,2012-03-29,20.96,21.24,20.85,21.03,36518000,21.020000000000003,20.15175,,,0.246717504774832,,,74.29519428155203
33,2012-03-30,21.12,21.19,20.98,21.15,35673900,21.11,20.18583333333333,,,0.27361001846290023,0.10233809608092673,0.1712719223819735,75.74330971481163
34,2012-04-02,21.14,21.3,21.05,21.19,30716500,21.169999999999998,20.217833333333335,,,0.29634791359215384,0.10006079296814427,0.19628712062400958,76.68627133825616
35,2012-04-03,21.11,21.19,20.63,20.82,64106700,20.9375,20.238083333333332,,,0.2922383110456437,0.07676095233730729,0.2154773587083364,65.98227077987356
36,2012-04-04,20.64,20.77,20.25,20.36,43848100,20.505,20.24625,,,0.2511867613462968,0.028567522110368337,0.22261923923592847,51.563746741895585
37,2012-04-05,20.18,20.37,20.07,20.22,30611900,20.21,20.24925,,,0.19262857555511204,-0.023992530944653145,0.21662110649976518,44.43180068245677
38,2012-04-09,19.97,20.16,19.87,19.96,26416300,19.990000000000002,20.241833333333332,,,0.12700460007135916,-0.07169320514272481,0.19869780521408398,39.98962009678079
39,2012-04-10,19.94,20.1,19.52,19.55,44896400,19.7775,20.23116666666667,,,0.05719089164310631,-0.11320553085678214,0.17039642249988846,36.222561380688326
40,2012-04-11,19.68,20.04,19.62,20.02,40610100,19.84,20.220833333333335,,,0.006827548667768468,-0.130855099065696,0.13768264773346447,38.07037980894032
41,2012-04-12,20.09,20.28,19.98,20.06,32041300,20.102500000000003,20.223416666666665,,,-0.011768546810547065,-0.11956095563520924,0.10779240882466218,45.24574586331842
42,2012-04-13,20.02,20.04,19.79,19.85,27901500,19.925,20.225166666666667,,,-0.04036356695098675,-0.11852478062051915,0.0781612136695324,41.72529120998009
43,2012-04-16,19.92,19.96,19.57,19.73,35250100,19.795,20.225,,,-0.07267745946043647,-0.12067093850397509,0.04799347904353862,39.312700983536914
44,2012-04-17,19.81,20.15,19.75,20.08,28770700,19.947499999999998,20.235416666666666,,,-0.08500113638994478,-0.10639569234678672,0.021394555956841945,43.443888466800104
45,2012-04-18,19.95,20.15,19.88,20.06,27563400,20.009999999999998,20.254416666666668,,,-0.08870200992286215,-0.08807725270376326,-0.0006247572190988745,45.09355173433916
46,2012-04-19,20.02,20.31,19.78,19.91,34583500,20.005,20.272583333333333,,,-0.09098956599654073,-0.07229184702195349,-0.018697718974587246,44.98051623224252
47,2012-04-20,19.93,20.04,19.84,19.91,34257200,19.93,20.282249999999998,,,-0.0977277986355034,-0.06322406372873293,-0.03450373490677048,43.2300175865197
48,2012-04-23,19.77,19.78,19.58,19.68,27406400,19.7025,20.279833333333332,,,-0.12004148177274843,-0.06843019749278235,-0.05161128427996607,38.35412386239342
49,2012-04-24,19.76,19.85,19.35,19.42,67526600,19.595,20.273083333333332,,,-0.14473121663214883,-0.0744959458817462,-0.07023527075040263,36.27224705833136
50,2012-04-25,19.59,19.69,19.27,19.49,48461800,19.509999999999998,20.254833333333334,,,-0.16920629418145694,-0.07917681874484345,-0.09002947543661349,34.669779717781125
51,2012-04-26,19.48,19.67,19.37,19.6,43037600,19.53,20.232499999999998,,,-0.18485820628782434,-0.07586298468096868,-0.10899522160685567,35.393032044255804
52,2012-04-27,19.64,20.03,19.58,19.98,47505900,19.8075,20.226333333333333,,,-0.17287770202599972,-0.05110598433531524,-0.12177171769068448,44.56345828064491
53,2012-04-30,19.85,20.17,19.82,20.16,36405500,20.0,20.226416666666662,,,-0.14616502544449972,-0.019514646203052183,-0.12665037924144754,49.8782784152305
54,2012-05-01,20.11,20.16,19.98,19.98,31761800,20.0575,20.225833333333334,,,-0.11898369734851855,0.006133345514343191,-0.12511704286286174,51.37778700297048
55,2012-05-02,19.91,19.94,19.63,19.84,32168300,19.830000000000002,20.209666666666667,,,-0.1144799935998293,0.008509639410425957,-0.12298963301025526,45.56893755966427
56,2012-05-03,19.92,19.95,19.65,19.72,29626200,19.810000000000002,20.18616666666667,,,-0.11124227706054413,0.00939788475976891,-0.12064016182031304,45.0863313530354
57,2012-05-04,19.52,19.53,19.03,19.12,41733900,19.3,20.14975,,,-0.1481216469849187,-0.02198518813168454,-0.12613645885323416,34.927996247987636
58,2012-05-07,19.02,19.26,19.0,19.08,34078500,19.09,20.10516666666667,,,-0.19207988100561124,-0.052754737721901646,-0.1393251432837096,31.75530555366784
59,2012-05-08,18.9,18.9,18.62,18.71,52278000,18.7825,20.039166666666667,,,-0.2488610628622112,-0.08762873566280127,-0.16123232719940994,27.776585123384734
60,2012-05-09,18.58,18.89,18.48,18.78,78275200,18.6825,19.963833333333334,,,-0.2984889282728034,-0.10980528085871474,-0.18868364741408863,26.60898276500005
61,2012-05-10,17.17,17.32,16.76,16.81,198450600,17.015,19.83291666666667,,,-0.4669895187993589,-0.22264469710821622,-0.2443448216911427,15.163019754105378
62,2012-05-11,16.76,16.99,16.5,16.51,75215300,16.69,19.688583333333334,,,-0.6196097590261544,-0.30021194986800936,-0.3193978091581451,13.907362679012039
63,2012-05-14,16.4,16.83,16.37,16.71,57497300,16.5775,19.5375,,,-0.7410973004115249,-0.3373595930027038,-0.4037377074088211,13.490896254201331
64,2012-05-15,16.74,16.76,16.51,16.54,66148000,16.637500000000003,19.386416666666666,,,-0.8230479690136043,-0.33544820928382657,-0.48759975972977776,14.953660218440731
65,2012-05-16,16.83,16.89,16.61,16.69,57794300,16.755,19.247,,,-0.8685016498954212,-0.30472151213251475,-0.5637801377629065,17.88200413941196
66,2012-05-17,16.69,16.8,16.55,16.55,41625200,16.6475,19.11841666666667,,,-0.9027915520119976,-0.27120913139927283,-0.6315824206127247,17.29525990869486
67,2012-05-18,16.61,16.64,16.37,16.47,57520600,16.5225,18.9955,,,-0.9293401470946492,-0.2382061811855395,-0.6911339659091097,16.612672349403468
68,2012-05-21,16.51,16.7,16.37,16.67,37628500,16.5625,18.88125,,,-0.9363586743292629,-0.19617976673612258,-0.7401789075931403,17.731592329567064
69,2012-05-22,16.66,16.82,16.62,16.73,42979200,16.707500000000003,18.778916666666664,,,-0.9196198147628856,-0.14355272573579625,-0.7760670890270893,21.82656370221963
70,2012-05-23,16.56,16.76,16.43,16.69,42459500,16.61,18.671249999999997,,,-0.9038031035383725,-0.10218881160902649,-0.801614291929346,21.067206649935116
