,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,47.61,48.06,47.46,48.0,1472900,47.7825
1,2012-02-14,47.95,48.22,47.27,47.7,1682400,47.785
2,2012-02-15,47.79,48.68,47.68,48.21,2567000,48.09
3,2012-02-16,48.22,49.31,47.78,49.13,2879300,48.61
4,2012-02-17,49.35,51.06,49.34,50.63,4516000,50.095
5,2012-02-21,50.53,50.68,49.73,49.89,3186400,50.207499999999996
6,2012-02-22,49.91,50.25,49.76,49.82,2248700,49.934999999999995
7,2012-02-23,49.66,49.76,49.38,49.53,3081200,49.582499999999996
8,2012-02-24,49.62,49.75,49.27,49.43,2032500,49.517500000000005
9,2012-02-27,48.82,50.33,48.81,50.15,2577300,49.5275
10,2012-02-28,50.13,50.25,49.95,50.11,1648100,50.11
11,2012-02-29,50.07,50.21,49.55,49.8,4231200,49.9075
12,2012-03-01,49.83,50.25,49.58,49.99,1461800,49.9125
13,2012-03-02,50.55,51.0,50.43,50.84,1826900,50.705
14,2012-03-05,50.64,50.73,50.11,50.67,2317100,50.53750000000001
15,2012-03-06,50.29,51.88,50.29,51.48,3375800,50.985
16,2012-03-07,51.42,51.73,51.21,51.62,2332700,51.495000000000005
17,2012-03-08,51.87,52.78,51.63,51.76,3563700,52.01
18,2012-03-09,52.09,52.09,50.57,50.74,3954400,51.3725
19,2012-03-12,50.29,50.86,50.13,50.18,3850500,50.365
20,2012-03-13,50.24,51.11,50.11,50.49,4077000,50.4875
21,2012-03-14,50.5,50.67,50.3,50.5,2625100,50.4925
22,2012-03-15,50.45,50.59,50.32,50.52,2035200,50.470000000000006
23,2012-03-16,50.78,50.84,50.4,50.53,2948100,50.6375
24,2012-03-19,50.27,50.74,50.26,50.42,2251700,50.4225
25,2012-03-20,50.19,50.48,50.05,50.35,1166700,50.26749999999999
26,2012-03-21,50.31,50.6,50.09,50.25,2401300,50.3125
27,2012-03-22,49.98,50.36,49.97,50.32,2000700,50.1575
28,2012-03-23,50.27,50.75,49.98,50.67,1943500,50.417500000000004
29,2012-03-26,50.75,51.59,50.65,50.88,2704600,50.9675
30,2012-03-27,50.94,51.65,50.94,51.25,1614300,51.195
31,2012-03-28,51.11,51.18,50.34,50.45,2211400,50.769999999999996
32,2012-03-29,50.27,50.69,49.94,50.65,1434500,50.3875
33,2012-03-30,50.89,50.97,50.3,50.83,2162200,50.7475
34,2012-04-02,50.74,51.01,50.19,50.82,1606700,50.69
35,2012-04-03,50.8,51.22,50.36,50.79,1959700,50.7925
36,2012-04-04,50.46,50.57,49.95,50.17,1438800,50.28750000000001
37,2012-04-05,49.95,50.15,49.8,50.0,1554600,49.974999999999994
38,2012-04-09,49.41,49.41,48.83,49.04,1758800,49.17249999999999
39,2012-04-10,48.87,49.01,48.38,48.4,2298000,48.665
40,2012-04-11,48.63,48.84,48.39,48.59,2029900,48.612500000000004
41,2012-04-12,48.72,49.07,48.39,49.03,1485100,48.8025
42,2012-04-13,49.03,49.12,48.4,48.4,1331300,48.737500000000004
43,2012-04-16,48.48,48.6,47.96,48.19,1857600,48.3075
44,2012-04-17,48.54,49.73,48.54,49.53,2313500,49.085
45,2012-04-18,49.25,49.49,48.82,49.11,2156600,49.167500000000004
46,2012-04-19,49.06,49.58,48.62,48.91,1755200,49.0425
47,2012-04-20,49.0,49.41,48.66,49.01,1286000,49.019999999999996
48,2012-04-23,48.64,48.85,48.46,48.59,1684800,48.635000000000005
49,2012-04-24,48.69,48.93,48.34,48.66,2106300,48.655
50,2012-04-25,49.32,51.85,49.32,51.32,6265600,50.4525
51,2012-04-26,51.25,51.29,50.77,51.02,4175400,51.0825
52,2012-04-27,51.15,51.28,50.61,50.75,2370900,50.947500000000005
53,2012-04-30,50.61,51.03,50.52,51.03,4708800,50.7975
54,2012-05-01,51.14,52.06,51.04,51.46,1774600,51.425000000000004
55,2012-05-02,51.2,51.6,51.0,51.33,1900100,51.2825
56,2012-05-03,51.24,51.29,50.78,50.8,1609000,51.0275
57,2012-05-04,50.58,50.76,50.27,50.61,1627600,50.55500000000001
58,2012-05-07,50.3,50.99,50.23,50.88,1676900,50.599999999999994
59,2012-05-08,50.28,51.05,49.81,50.92,1991400,50.515
60,2012-05-09,50.07,50.45,49.63,49.71,2946500,49.965
61,2012-05-10,49.85,49.96,49.48,49.54,2690700,49.707499999999996
62,2012-05-11,49.46,50.11,49.45,49.83,2658500,49.71249999999999
63,2012-05-14,49.52,49.58,48.83,48.85,3179500,49.195
64,2012-05-15,48.74,49.47,48.28,49.1,1631000,48.8975
65,2012-05-16,49.2,49.43,48.76,48.76,1693200,49.037499999999994
66,2012-05-17,48.87,48.87,47.87,47.87,2185700,48.37
67,2012-05-18,47.95,48.13,46.87,46.97,2928700,47.480000000000004
68,2012-05-21,47.0,48.06,46.95,47.93,1891800,47.485
69,2012-05-22,47.97,48.2,47.59,47.88,2240200,47.91
70,2012-05-23,47.51,48.32,47.09,48.24,1900000,47.790000000000006
71,2012-05-24,48.23,48.25,47.39,47.72,3463400,47.8975
72,2012-05-25,47.83,48.12,47.74,48.02,1343700,47.9275
73,2012-05-29,48.17,48.86,48.02,48.83,1790800,48.47
74,2012-05-30,48.29,48.42,47.6,47.81,2043300,48.03
75,2012-05-31,47.69,48.45,47.34,48.08,3229600,47.89
76,2012-06-01,47.24,47.45,46.94,46.96,2152700,47.1475
77,2012-06-04,46.93,47.24,46.48,46.84,1682400,46.8725
78,2012-06-05,46.82,48.12,46.62,47.98,1912300,47.385
79,2012-06-06,48.16,49.19,48.16,49.19,1785400,48.675
80,2012-06-07,49.44,49.59,48.18,48.23,1962500,48.86
81,2012-06-08,48.11,48.72,48.09,48.6,2263400,48.38
82,2012-06-11,48.88,49.0,47.37,47.43,2675200,48.17
83,2012-06-12,47.86,48.17,47.29,48.03,2593600,47.8375
84,2012-06-13,47.58,48.04,47.05,47.4,2288900,47.517500000000005
85,2012-06-14,47.38,47.61,46.75,47.35,2498100,47.2725
86,2012-06-15,47.6,48.88,47.44,48.7,3226500,48.155
87,2012-06-18,48.38,49.2,48.34,49.03,2248300,48.737500000000004
88,2012-06-19,49.25,49.49,48.35,48.44,2019100,48.8825
89,2012-06-20,48.44,48.86,47.72,47.99,2978700,48.2525
