,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,5.05,5.11,4.98,5.1,29833700,5.0600000000000005
1,2012-02-14,5.1,5.14,5.06,5.13,21585700,5.107499999999999
2,2012-02-15,5.15,5.19,5.09,5.1,17613200,5.1325
3,2012-02-16,5.13,5.22,5.12,5.21,21256400,5.17
4,2012-02-17,5.34,5.5,5.33,5.49,37384600,5.415000000000001
5,2012-02-21,5.54,5.65,5.51,5.58,22962200,5.57
6,2012-02-22,5.6,5.63,5.55,5.56,21558200,5.585
7,2012-02-23,5.44,5.54,5.41,5.54,26321100,5.4825
8,2012-02-24,5.79,5.87,5.75,5.8,59628300,5.8025
9,2012-02-27,5.44,5.49,5.4,5.44,33487400,5.4425
10,2012-02-28,5.44,5.46,5.34,5.37,31612900,5.402500000000001
11,2012-02-29,5.35,5.41,5.23,5.29,36802700,5.32
12,2012-03-01,5.31,5.36,5.13,5.29,52410600,5.2725
13,2012-03-02,5.21,5.24,5.15,5.23,22194600,5.2075
14,2012-03-05,5.21,5.21,5.12,5.17,17383200,5.1775
15,2012-03-06,4.98,5.02,4.95,4.96,50595600,4.9775
16,2012-03-07,5.04,5.1,4.99,5.06,21970800,5.0475
17,2012-03-08,5.05,5.15,5.02,5.08,15309200,5.074999999999999
18,2012-03-09,5.1,5.12,5.05,5.06,11241100,5.0825
19,2012-03-12,5.02,5.04,5.0,5.0,12829100,5.015
20,2012-03-13,5.04,5.05,4.99,5.05,26650300,5.0325
21,2012-03-14,5.02,5.03,4.9,4.94,35534100,4.9725
22,2012-03-15,5.03,5.4,4.98,5.22,58885600,5.1575
23,2012-03-16,5.26,5.4,5.22,5.33,59430300,5.3025
24,2012-03-19,5.38,5.49,5.38,5.4,28898800,5.4125
25,2012-03-20,5.49,5.51,5.4,5.42,25939900,5.455
26,2012-03-21,5.42,5.43,5.31,5.33,19515700,5.3725000000000005
27,2012-03-22,5.22,5.29,5.18,5.25,16106000,5.234999999999999
28,2012-03-23,5.24,5.35,5.19,5.29,13075100,5.2675
29,2012-03-26,5.37,5.39,5.29,5.34,25565800,5.3475
30,2012-03-27,5.42,5.49,5.36,5.37,23654300,5.41
31,2012-03-28,5.54,5.57,5.46,5.54,41733200,5.5275
32,2012-03-29,5.44,5.49,5.34,5.42,32650800,5.422499999999999
33,2012-03-30,5.49,5.53,5.42,5.49,23742800,5.4825
34,2012-04-02,5.4,5.51,5.38,5.47,17611900,5.4399999999999995
35,2012-04-03,5.51,5.52,5.3,5.31,31916300,5.409999999999999
36,2012-04-04,5.19,5.2,5.06,5.07,46989500,5.13
37,2012-04-05,5.09,5.17,5.08,5.11,25050400,5.1125
38,2012-04-09,5.12,5.16,5.02,5.14,22630400,5.11
39,2012-04-10,5.12,5.18,5.01,5.03,35305400,5.085
40,2012-04-11,4.36,4.41,4.2,4.24,186901800,4.3025
41,2012-04-12,4.12,4.24,4.01,4.23,80518400,4.15
