,datetime,open,high,low,close,volume,OHLC_avg
0,2012-02-13,29.92,30.12,29.91,30.04,23042700,29.997500000000002
1,2012-02-14,30.12,30.15,29.85,30.07,21628300,30.0475
2,2012-02-15,29.98,30.07,29.77,29.87,23030300,29.9225
3,2012-02-16,29.9,30.18,29.85,30.02,23546700,29.9875
4,2012-02-17,30.14,30.15,30.0,30.01,31320000,30.075
5,2012-02-21,30.1,30.4,30.07,30.34,25388800,30.2275
6,2012-02-22,30.25,30.37,30.2,30.28,15731900,30.275000000000002
7,2012-02-23,30.22,30.48,30.22,30.46,22468900,30.345
8,2012-02-24,30.43,30.49,30.29,30.34,18273700,30.387500000000003
9,2012-02-27,30.31,30.43,30.29,30.36,30631900,30.3475
10,2012-02-28,30.41,30.59,30.36,30.53,20298000,30.4725
11,2012-02-29,30.49,30.64,30.47,30.59,26529700,30.5475
12,2012-03-01,30.54,30.66,30.44,30.63,21582000,30.5675
13,2012-03-02,30.67,31.0,30.6,30.87,23542400,30.785000000000004
14,2012-03-05,30.85,31.12,30.75,30.99,39273200,30.9275
15,2012-03-06,30.8,30.97,30.66,30.73,25447700,30.79
16,2012-03-07,30.69,30.97,30.69,30.88,16542500,30.807499999999997
17,2012-03-08,31.07,31.15,30.88,31.0,18745600,31.025
18,2012-03-09,31.0,31.18,31.0,31.18,19202000,31.090000000000003
19,2012-03-12,31.2,31.52,31.18,31.44,20570800,31.335
20,2012-03-13,31.52,31.64,31.44,31.63,23764600,31.557499999999997
21,2012-03-14,31.6,31.8,31.42,31.45,24506000,31.567500000000003
22,2012-03-15,31.41,31.65,31.35,31.64,20003200,31.5125
23,2012-03-16,31.7,31.71,31.51,31.59,28666300,31.6275
24,2012-03-19,31.46,31.74,31.35,31.65,19746000,31.550000000000004
25,2012-03-20,31.6,31.83,31.51,31.79,18135100,31.682499999999997
26,2012-03-21,31.85,31.97,31.83,31.84,21085300,31.872500000000002
27,2012-03-22,31.8,31.86,31.56,31.71,80257500,31.7325
28,2012-03-23,31.66,31.72,31.38,31.52,77769100,31.569999999999997
29,2012-03-26,31.61,31.83,31.59,31.79,75567700,31.705
30,2012-03-27,31.79,31.95,31.6,31.64,27904800,31.745
31,2012-03-28,31.53,31.57,31.2,31.36,31387200,31.415
32,2012-03-29,31.05,31.21,30.77,31.21,28715500,31.060000000000002
33,2012-03-30,31.32,31.38,31.16,31.23,21745700,31.2725
34,2012-04-02,31.28,31.59,31.27,31.45,21696800,31.3975
35,2012-04-03,31.43,31.6,31.33,31.43,22006400,31.447499999999998
36,2012-04-04,31.38,31.66,31.38,31.57,26605900,31.497500000000002
37,2012-04-05,31.09,31.16,30.75,30.94,21473600,30.985
38,2012-04-09,30.67,30.85,30.55,30.64,19223300,30.677500000000002
39,2012-04-10,30.52,30.62,29.95,30.13,34766600,30.305
40,2012-04-11,30.39,30.51,30.27,30.45,21593600,30.405
41,2012-04-12,30.79,30.88,30.68,30.84,19678900,30.7975
42,2012-04-13,30.75,30.86,30.52,30.54,25029500,30.667499999999997
43,2012-04-16,30.56,30.72,30.5,30.61,14736000,30.5975
44,2012-04-17,30.77,30.95,30.67,30.89,21704500,30.82
45,2012-04-18,30.75,30.85,30.66,30.75,12861100,30.7525
46,2012-04-19,30.79,30.88,30.6,30.74,16743800,30.7525
47,2012-04-20,30.74,31.09,30.7,30.86,22069800,30.8475
48,2012-04-23,30.87,30.9,30.61,30.61,27331000,30.7475
49,2012-04-24,31.22,31.92,31.13,31.72,51905000,31.4975
50,2012-04-25,31.76,31.97,31.72,31.74,28458400,31.7975
51,2012-04-26,31.79,32.53,31.78,32.44,34743900,32.135
52,2012-04-27,32.47,32.75,32.45,32.67,24100000,32.585
53,2012-04-30,32.53,32.95,32.52,32.91,26651400,32.7275
54,2012-05-01,32.93,33.33,32.93,33.06,28321400,33.0625
55,2012-05-02,33.04,33.17,32.85,33.04,27929300,33.025
56,2012-05-03,32.82,33.15,32.76,33.11,24708200,32.959999999999994
57,2012-05-04,33.04,33.11,32.82,32.86,19111300,32.957499999999996
58,2012-05-07,32.49,33.09,32.47,33.0,25771200,32.7625
59,2012-05-08,32.81,33.2,32.8,33.04,26660300,32.9625
60,2012-05-09,32.87,33.03,32.71,32.81,21595200,32.855000000000004
61,2012-05-10,33.07,33.25,32.94,33.13,23889100,33.0975
62,2012-05-11,33.38,33.92,33.34,33.59,41985000,33.557500000000005
63,2012-05-14,33.42,33.56,33.05,33.53,30006400,33.39
64,2012-05-15,33.31,33.6,33.25,33.35,28024400,33.3775
65,2012-05-16,33.47,33.55,33.17,33.19,22541800,33.345
66,2012-05-17,33.17,33.52,33.11,33.29,23399200,33.2725
67,2012-05-18,33.41,33.81,33.4,33.66,38876800,33.57
68,2012-05-21,33.71,33.94,33.56,33.63,24667800,33.71
69,2012-05-22,33.56,33.81,33.44,33.54,28027300,33.5875
70,2012-05-23,33.34,33.65,33.08,33.36,25725200,33.3575
71,2012-05-24,33.38,33.7,33.36,33.64,24082600,33.52
72,2012-05-25,33.66,33.85,33.52,33.69,22284100,33.68
73,2012-05-29,33.89,33.98,33.7,33.94,22911100,33.8775
74,2012-05-30,33.72,34.11,33.7,33.84,30160800,33.8425
75,2012-05-31,33.82,34.41,33.79,34.17,32259000,34.0475
76,2012-06-01,34.1,34.21,33.78,33.9,29091800,33.9975
77,2012-06-04,33.91,34.27,33.85,34.15,26700400,34.045
78,2012-06-05,34.09,34.26,33.95,34.06,24424900,34.09
79,2012-06-06,34.19,34.56,34.05,34.56,27729800,34.34
80,2012-06-07,34.72,34.74,34.16,34.16,42417600,34.445
81,2012-06-08,34.13,34.66,34.11,34.55,27959400,34.3625
82,2012-06-11,34.72,35.0,34.56,34.59,26192000,34.7175
83,2012-06-12,34.63,34.99,34.42,34.98,27812900,34.755
84,2012-06-13,34.94,35.06,34.72,34.98,26546000,34.925
85,2012-06-14,34.92,35.92,34.88,35.69,31612200,35.3525
86,2012-06-15,35.93,36.0,35.61,35.71,41585800,35.8125
87,2012-06-18,35.66,35.98,35.6,35.63,22627200,35.717499999999994
88,2012-06-19,35.78,35.8,35.19,35.47,26838900,35.56
89,2012-06-20,35.38,35.63,35.2,35.41,23353100,35.405
90,2012-06-21,35.44,35.65,34.98,35.03,28404000,35.275
91,2012-06-22,35.21,35.33,34.99,35.17,87136400,35.175
92,2012-06-25,34.96,35.05,34.77,34.95,87787000,34.932500000000005
93,2012-06-26,34.93,35.12,34.85,34.98,20488400,34.97
94,2012-06-27,35.05,35.28,35.02,35.19,16185100,35.135
95,2012-06-28,35.03,35.4,34.95,35.39,21426600,35.1925
96,2012-06-29,35.7,35.73,35.44,35.66,30458800,35.6325
97,2012-07-02,35.7,36.2,35.64,36.2,24801600,35.935
98,2012-07-03,36.21,36.21,35.79,36.0,15479800,36.0525
99,2012-07-05,35.96,35.97,35.53,35.77,22817200,35.807500000000005
100,2012-07-06,35.04,35.5,34.9,35.44,22049600,35.22
101,2012-07-09,35.38,35.54,35.23,35.54,17414000,35.4225
102,2012-07-10,35.7,35.73,35.39,35.44,21606900,35.565
103,2012-07-11,35.42,35.48,35.1,35.26,20684700,35.315
104,2012-07-12,35.04,35.1,34.65,34.87,24143600,34.915
105,2012-07-13,34.93,35.35,34.85,35.35,19190100,35.12
106,2012-07-16,35.22,35.56,35.19,35.42,17691300,35.3475
107,2012-07-17,35.34,35.9,35.25,35.82,21328400,35.5775
108,2012-07-18,35.74,36.19,35.63,36.19,25449900,35.9375
109,2012-07-19,35.85,35.87,35.2,35.48,30349500,35.6
110,2012-07-20,35.34,35.5,35.1,35.29,26677300,35.3075
111,2012-07-23,35.0,35.5,34.89,35.38,27252700,35.1925
112,2012-07-24,35.46,35.65,34.24,34.63,38629700,34.995
113,2012-07-25,34.84,35.52,34.73,35.33,31936700,35.105000000000004
114,2012-07-26,35.84,36.43,35.83,36.3,34751200,36.1
115,2012-07-27,36.47,37.35,36.44,37.14,45572900,36.849999999999994
116,2012-07-30,37.08,37.69,37.03,37.43,24892300,37.3075
117,2012-07-31,37.3,38.11,37.3,37.92,36692300,37.6575
118,2012-08-01,38.14,38.28,37.64,37.64,28003600,37.925
119,2012-08-02,37.52,37.76,37.33,37.54,24657600,37.5375
120,2012-08-03,37.87,38.0,37.47,37.58,24292000,37.730000000000004
121,2012-08-06,37.58,37.97,37.57,37.61,16362500,37.682500000000005
122,2012-08-07,37.72,37.8,37.41,37.44,21769500,37.5925
123,2012-08-08,37.33,37.51,37.03,37.43,22446800,37.325
124,2012-08-09,37.32,37.39,37.05,37.23,21159700,37.2475
125,2012-08-10,37.18,37.5,37.04,37.49,16589500,37.3025
126,2012-08-13,37.41,37.51,37.32,37.39,13117500,37.4075
