,datetime,open,high,low,close,volume,OHLC_avg,MA_30,MA_100,MA_200,MACD,MACD_h,MACD_s,RSI
0,2012-02-13,29.92,30.12,29.91,30.04,23042700,29.997500000000002,,,,,,,
1,2012-02-14,30.12,30.15,29.85,30.07,21628300,30.0475,,,,,,,
2,2012-02-15,29.98,30.07,29.77,29.87,23030300,29.9225,,,,,,,
3,2012-02-16,29.9,30.18,29.85,30.02,23546700,29.9875,,,,,,,
4,2012-02-17,30.14,30.15,30.0,30.01,31320000,30.075,,,,,,,
5,2012-02-21,30.1,30.4,30.07,30.34,25388800,30.2275,,,,,,,
6,2012-02-22,30.25,30.37,30.2,30.28,15731900,30.275000000000002,,,,,,,
7,2012-02-23,30.22,30.48,30.22,30.46,22468900,30.345,,,,,,,
8,2012-02-24,30.43,30.49,30.29,30.34,18273700,30.387500000000003,,,,,,,
9,2012-02-27,30.31,30.43,30.29,30.36,30631900,30.3475,,,,,,,
10,2012-02-28,30.41,30.59,30.36,30.53,20298000,30.4725,,,,,,,
11,2012-02-29,30.49,30.64,30.47,30.59,26529700,30.5475,,,,,,,
12,2012-03-01,30.54,30.66,30.44,30.63,21582000,30.5675,,,,,,,
13,2012-03-02,30.67,31.0,30.6,30.87,23542400,30.785000000000004,,,,,,,
14,2012-03-05,30.85,31.12,30.75,30.99,39273200,30.9275,,,,,,,90.78019965905028
15,2012-03-06,30.8,30.97,30.66,30.73,25447700,30.79,,,,,,,77.40115969611638
16,2012-03-07,30.69,30.97,30.69,30.88,16542500,30.807499999999997,,,,,,,77.8486201266219
17,2012-03-08,31.07,31.15,30.88,31.0,18745600,31.025,,,,,,,82.4892685425024
18,2012-03-09,31.0,31.18,31.0,31.18,19202000,31.090000000000003,,,,,,,83.59534169142898
19,2012-03-12,31.2,31.52,31.18,31.44,20570800,31.335,,,,,,,86.94311812523898
20,2012-03-13,31.52,31.64,31.44,31.63,23764600,31.557499999999997,,,,,,,89.11554247603844
21,2012-03-14,31.6,31.8,31.42,31.45,24506000,31.567500000000003,,,,,,,89.20249521375789
22,2012-03-15,31.41,31.65,31.35,31.64,20003200,31.5125,,,,,,,85.17233423222271
23,2012-03-16,31.7,31.71,31.51,31.59,28666300,31.6275,,,,,,,86.54151674569266
24,2012-03-19,31.46,31.74,31.35,31.65,19746000,31.550000000000004,,,,,,,81.1061261309357
25,2012-03-20,31.6,31.83,31.51,31.79,18135100,31.682499999999997,,,,0.3861639998386437,,,83.0645304535638
26,2012-03-21,31.85,31.97,31.83,31.84,21085300,31.872500000000002,,,,0.40293022600932105,,,85.40130952310713
27,2012-03-22,31.8,31.86,31.56,31.71,80257500,31.7325,,,,0.40030626957883086,,,76.97339413190856
28,2012-03-23,31.66,31.72,31.38,31.52,77769100,31.569999999999997,,,,0.38072560548567225,,,68.52083363235803
29,2012-03-26,31.61,31.83,31.59,31.79,75567700,31.705,30.877916666666668,,,0.3718151067746689,,,71.33685873230199
30,2012-03-27,31.79,31.95,31.6,31.64,27904800,31.745,30.936166666666665,,,0.3637876208127757,,,72.13233065236821
31,2012-03-28,31.53,31.57,31.2,31.36,31387200,31.415,30.98175,,,0.3270277657621463,,,57.864659170459525
32,2012-03-29,31.05,31.21,30.77,31.21,28715500,31.060000000000002,31.01966666666667,,,0.266181409061371,,,47.076923298130254
33,2012-03-30,31.32,31.38,31.16,31.23,21745700,31.2725,31.0625,,,0.2324279226540824,-0.0938436848438079,0.3262716074978903,52.7548455683641
34,2012-04-02,31.28,31.59,31.27,31.45,21696800,31.3975,31.106583333333333,,,0.2133056421622861,-0.09037277226848339,0.3036784144307695,55.761480539752334
35,2012-04-03,31.43,31.6,31.33,31.43,22006400,31.447499999999998,31.147249999999996,,,0.19988156893181852,-0.08303747639916081,0.28291904533097934,56.94186457164023
36,2012-04-04,31.38,31.66,31.38,31.57,26605900,31.497500000000002,31.188,,,0.1910748839913481,-0.07347532907170501,0.2645502130630531,58.14456989792645
37,2012-04-05,31.09,31.16,30.75,30.94,21473600,30.985,31.209333333333333,,,0.1411143771691421,-0.0987486687151288,0.2398630458842709,44.44190033926119
38,2012-04-09,30.67,30.85,30.55,30.64,19223300,30.677500000000002,31.219,,,0.07583347436349186,-0.13122365721662324,0.2070571315801151,38.56879222653657
39,2012-04-10,30.52,30.62,29.95,30.13,34766600,30.305,31.217583333333334,,,-0.005891830961314071,-0.17035917003314335,0.16446733907182928,32.89725401015305
40,2012-04-11,30.39,30.51,30.27,30.45,21593600,30.405,31.21533333333333,,,-0.061877277230482974,-0.18107569304184978,0.11919841581136682,35.63366914099558
41,2012-04-12,30.79,30.88,30.68,30.84,19678900,30.7975,31.223666666666663,,,-0.07372482314244522,-0.15433859116304963,0.08061376802060441,45.097336165502
42,2012-04-13,30.75,30.86,30.52,30.54,25029500,30.667499999999997,31.226999999999997,,,-0.09253728990375265,-0.13852084633948564,0.045983556435733,42.85013836398244
43,2012-04-16,30.56,30.72,30.5,30.61,14736000,30.5975,31.22075,,,-0.11180589161242693,-0.12623155843852796,0.01442566682610101,41.64673628946512
44,2012-04-17,30.77,30.95,30.67,30.89,21704500,30.82,31.217166666666667,,,-0.10787894546837151,-0.09784368983557802,-0.010035255632793493,46.76446014629742
45,2012-04-18,30.75,30.85,30.66,30.75,12861100,30.7525,31.21591666666667,,,-0.1089575039541586,-0.07913779865709208,-0.029819705297066516,45.46184187616812
46,2012-04-19,30.79,30.88,30.6,30.74,16743800,30.7525,31.214083333333335,,,-0.10856084745209671,-0.06299291372402416,-0.04556793372807256,45.46184187616812
47,2012-04-20,30.74,31.09,30.7,30.86,22069800,30.8475,31.208166666666667,,,-0.09943456845529752,-0.043093307781779965,-0.05634126067351756,47.83365698837338
48,2012-04-23,30.87,30.9,30.61,30.61,27331000,30.7475,31.19675,,,-0.09912840036999526,-0.03422971175718216,-0.0648986886128131,45.58628164106952
49,2012-04-24,31.22,31.92,31.13,31.72,51905000,31.4975,31.202166666666663,,,-0.03792979688014242,0.021575113386136546,-0.059504910266278965,60.55488301204688
50,2012-04-25,31.76,31.97,31.72,31.74,28458400,31.7975,31.210166666666666,,,0.03438169926581125,0.07510928762567218,-0.04072758835986092,64.73390680677176
51,2012-04-26,31.79,32.53,31.78,32.44,34743900,32.135,31.22908333333333,,,0.11756726804949835,0.1266358851274874,-0.009068617077989064,68.74561846691151
52,2012-04-27,32.47,32.75,32.45,32.67,24100000,32.585,31.264833333333335,,,0.21729878469712105,0.1810939214200881,0.03620486327703296,73.1339514593993
53,2012-04-30,32.53,32.95,32.52,32.91,26651400,32.7275,31.301499999999997,,,0.30432719478062253,0.21449786520287167,0.08982932957775087,74.36157994773279
54,2012-05-01,32.93,33.33,32.93,33.06,28321400,33.0625,31.351916666666668,,,0.3957673770992507,0.24475043801719987,0.15101693908205083,77.02002309460747
55,2012-05-02,33.04,33.17,32.85,33.04,27929300,33.025,31.396666666666665,,,0.4599069230514594,0.24711198717552685,0.21279493587593257,76.06916455982447
56,2012-05-03,32.82,33.15,32.76,33.11,24708200,32.959999999999994,31.432916666666664,,,0.4997324143467665,0.22954998277666716,0.27018243157009936,74.35562989806084
57,2012-05-04,33.04,33.11,32.82,32.86,19111300,32.957499999999996,31.47375,,,0.5250403358533795,0.2038863234266241,0.3211540124267554,74.28631853831206
58,2012-05-07,32.49,33.09,32.47,33.0,25771200,32.7625,31.5135,,,0.523329558277613,0.16174043668068605,0.3615891215969269,68.89197635677148
59,2012-05-08,32.81,33.2,32.8,33.04,26660300,32.9625,31.555416666666666,,,0.5319797518204972,0.1363125041788562,0.39566724764164096,71.20178150816739
60,2012-05-09,32.87,33.03,32.71,32.81,21595200,32.855000000000004,31.59241666666667,,,0.5241190230940447,0.10276142036192293,0.42135760273212175,68.2676405726998
61,2012-05-10,33.07,33.25,32.94,33.13,23889100,33.0975,31.6485,,,0.5313321954810775,0.08797967419916453,0.44335252128191294,71.1552886854855
62,2012-05-11,33.38,33.92,33.34,33.59,41985000,33.557500000000005,31.731749999999998,,,0.567623630308745,0.09941688722146558,0.4682067430872794,75.6768857331077
63,2012-05-14,33.42,33.56,33.05,33.53,30006400,33.39,31.80233333333333,,,0.5762266219223378,0.0864159030680467,0.48981071885429106,71.29437879673368
64,2012-05-15,33.31,33.6,33.25,33.35,28024400,33.3775,31.868333333333336,,,0.5754030213697732,0.06847384201238571,0.5069291793573875,70.9641020808779
65,2012-05-16,33.47,33.55,33.17,33.19,22541800,33.345,31.931583333333332,,,0.5656078583001545,0.04694294315421366,0.5186649151459408,70.05539835965409
66,2012-05-17,33.17,33.52,33.11,33.29,23399200,33.2725,31.99075,,,0.5457044358575729,0.02163161656930568,0.5240728192882672,67.96463018054203
